case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,repeats,timing_unit,restart
real_00_gsm8k_w63_l1,gsm8k,63,1,late,very-small,1,256,normal_cached,0.016864000,0.100032002,0.182863995,0.227807999,0.350880012,0.370016009,0.000000000,0.000000000,8,8,True,30,critical-rank wall via same-GPU CUDA events,2
real_00_gsm8k_w63_l1,gsm8k,63,1,late,very-small,1,256,normal_fresh,0.059136000,0.136880003,0.184175998,0.168127999,0.403711990,0.427872002,0.000000000,0.000000000,8,8,True,30,critical-rank wall via same-GPU CUDA events,2
real_01_gsm8k_w62_l1,gsm8k,62,1,late,very-small,2,256,low_latency,0.016624000,0.096719999,0.014000000,0.066528000,0.174495995,0.187071994,0.000000000,0.000000000,16,16,True,30,critical-rank wall via same-GPU CUDA events,2
real_01_gsm8k_w62_l1,gsm8k,62,1,late,very-small,2,256,normal_cached,0.016592000,0.107632000,0.176912002,0.226031996,0.352159992,0.373632014,0.000000000,0.000000000,16,16,True,30,critical-rank wall via same-GPU CUDA events,2
real_01_gsm8k_w62_l1,gsm8k,62,1,late,very-small,2,256,normal_fresh,0.058176000,0.144576006,0.185103998,0.175151996,0.422143996,0.431647986,0.000000000,0.000000000,16,16,True,30,critical-rank wall via same-GPU CUDA events,2
real_02_gsm8k_w34_l1,gsm8k,34,1,late,very-small,4,256,low_latency,0.016880000,0.086144000,0.013904000,0.067952000,0.165631995,0.176351994,0.000000000,0.000000000,32,32,True,30,critical-rank wall via same-GPU CUDA events,2
real_02_gsm8k_w34_l1,gsm8k,34,1,late,very-small,4,256,normal_cached,0.017168000,0.100191999,0.177951999,0.205743998,0.362736002,0.380192012,0.000000000,0.000000000,32,32,True,30,critical-rank wall via same-GPU CUDA events,2
real_02_gsm8k_w34_l1,gsm8k,34,1,late,very-small,4,256,normal_fresh,0.058975998,0.130528003,0.183536001,0.147023998,0.417743996,0.433887988,0.000000000,0.000000000,32,32,True,30,critical-rank wall via same-GPU CUDA events,2
real_03_gsm8k_w59_l1,gsm8k,59,1,late,very-small,5,256,low_latency,0.016543999,0.098143999,0.014176000,0.068351999,0.179168001,0.195040002,0.000000000,0.000000000,40,40,True,30,critical-rank wall via same-GPU CUDA events,2
real_03_gsm8k_w59_l1,gsm8k,59,1,late,very-small,5,256,normal_cached,0.016736001,0.108991999,0.178367995,0.207759999,0.370816007,0.398111999,0.000000000,0.000000000,40,40,True,30,critical-rank wall via same-GPU CUDA events,2
real_03_gsm8k_w59_l1,gsm8k,59,1,late,very-small,5,256,normal_fresh,0.058079999,0.142655998,0.181807995,0.148352005,0.434880003,0.468928009,0.000000000,0.000000000,40,40,True,30,critical-rank wall via same-GPU CUDA events,2
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,256,low_latency,0.016783999,0.089808002,0.013888000,0.068576001,0.171343997,0.185696006,0.000000000,0.000000000,64,64,True,30,critical-rank wall via same-GPU CUDA events,2
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,256,normal_cached,0.016544000,0.099760000,0.178672001,0.210880004,0.365600005,0.388511986,0.000000000,0.000000000,64,64,True,30,critical-rank wall via same-GPU CUDA events,2
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,256,normal_fresh,0.059680000,0.134319998,0.183536001,0.153551996,0.430176005,0.443583995,0.000000000,0.000000000,64,64,True,30,critical-rank wall via same-GPU CUDA events,2
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,256,low_latency,0.016592000,0.093599997,0.013952000,0.070000000,0.175584003,0.188096002,0.000402520,0.000000000,72,72,True,30,critical-rank wall via same-GPU CUDA events,2
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,256,normal_cached,0.016576000,0.101599999,0.176831998,0.210832000,0.371328011,0.386527985,0.000000000,0.000402517,72,72,True,30,critical-rank wall via same-GPU CUDA events,2
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,256,normal_fresh,0.057647999,0.136543997,0.179215997,0.151039995,0.426495999,0.444000006,0.000000000,0.000402517,72,72,True,30,critical-rank wall via same-GPU CUDA events,2
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,256,low_latency,0.016496000,0.098384000,0.013792000,0.068032000,0.177535996,0.194015995,0.000000000,0.000000000,120,120,True,30,critical-rank wall via same-GPU CUDA events,2
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,256,normal_cached,0.016640000,0.107952002,0.176016003,0.209328003,0.368511990,0.400799990,0.000000000,0.000000000,120,120,True,30,critical-rank wall via same-GPU CUDA events,2
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,256,normal_fresh,0.058784001,0.143776007,0.183359995,0.152223997,0.432687998,0.448543996,0.000000000,0.000000000,120,120,True,30,critical-rank wall via same-GPU CUDA events,2
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,256,low_latency,0.016368000,0.097424001,0.014048000,0.068175998,0.179935999,0.195168003,0.000837831,0.000000000,176,176,True,30,critical-rank wall via same-GPU CUDA events,2
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,256,normal_cached,0.016368000,0.111296002,0.180560000,0.221487999,0.387663990,0.395808011,0.000000000,0.000837815,176,176,True,30,critical-rank wall via same-GPU CUDA events,2
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,256,normal_fresh,0.058559999,0.142735995,0.182847999,0.155535996,0.431424007,0.446336001,0.000000000,0.000837815,176,176,True,30,critical-rank wall via same-GPU CUDA events,2
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,low_latency,0.016624000,0.098511998,0.013872000,0.067648001,0.179024003,0.188863993,0.000896853,0.000000000,208,208,True,30,critical-rank wall via same-GPU CUDA events,2
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,normal_cached,0.016432000,0.109584000,0.179807998,0.214752004,0.377407998,0.395583987,0.000000000,0.000896841,208,208,True,30,critical-rank wall via same-GPU CUDA events,2
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,normal_fresh,0.058047999,0.142880000,0.182480000,0.150912002,0.433072001,0.445567995,0.000000000,0.000896841,208,208,True,30,critical-rank wall via same-GPU CUDA events,2
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,low_latency,0.016432000,0.098719999,0.014016000,0.066992003,0.178640001,0.196096003,0.000000000,0.000000000,248,248,True,30,critical-rank wall via same-GPU CUDA events,2
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,normal_cached,0.016480001,0.108800001,0.177503996,0.211999997,0.375760004,0.388319999,0.000000000,0.000000000,248,248,True,30,critical-rank wall via same-GPU CUDA events,2
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,normal_fresh,0.058720000,0.143711999,0.181776002,0.154112004,0.427552015,0.444575995,0.000000000,0.000000000,248,248,True,30,critical-rank wall via same-GPU CUDA events,2
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,low_latency,0.016240001,0.098144002,0.013952000,0.066816002,0.177392006,0.193823993,0.000751054,0.000000000,264,264,True,30,critical-rank wall via same-GPU CUDA events,2
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,normal_cached,0.016416000,0.110064000,0.179551996,0.220607996,0.381487995,0.394335985,0.000000000,0.000751042,264,264,True,30,critical-rank wall via same-GPU CUDA events,2
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,normal_fresh,0.058559999,0.142575994,0.182687998,0.154224001,0.425423995,0.448159993,0.000000000,0.000751042,264,264,True,30,critical-rank wall via same-GPU CUDA events,2
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,low_latency,0.016464001,0.101312000,0.013872000,0.065135997,0.178704001,0.191648006,0.000648639,0.000000000,352,352,True,30,critical-rank wall via same-GPU CUDA events,2
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,normal_cached,0.016368000,0.110447999,0.179183997,0.212527998,0.371776000,0.420127988,0.000000000,0.000648637,352,352,True,30,critical-rank wall via same-GPU CUDA events,2
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,normal_fresh,0.059375999,0.145360000,0.183711998,0.156127997,0.434000000,0.448608011,0.000000000,0.000648637,352,352,True,30,critical-rank wall via same-GPU CUDA events,2
