case_id,family,N,perm_index,metric,median_ms,p5_ms,p95_ms,cv,n_iterations,S,I,traffic_entropy,max_peer_fraction
pair_concentrated_N256_p01,pair_concentrated,256,1,host_ms,0.18211650000000001,0.1764432,0.2009471,0.04766510227320533,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p02,pair_concentrated,256,2,layout_ms,0.025919999927282333,0.024516799580305816,0.033275200612843024,0.12777014595256395,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p02,pair_concentrated,256,2,dispatch_only_ms,0.09084799885749817,0.08618400059640408,0.10144960023462772,3.5035506202966187,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p02,pair_concentrated,256,2,combine_ms,0.041311999782919884,0.03977600112557411,0.04566239882260561,0.1284218331045998,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p02,pair_concentrated,256,2,full_path_ms,0.16574399918317795,0.1611775979399681,0.18512639924883842,2.4799507377969534,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p02,pair_concentrated,256,2,host_ms,0.18176150000000002,0.17683805,0.2007145,2.3361384432388532,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p03,pair_concentrated,256,3,layout_ms,0.02571200020611286,0.024328000005334617,0.030363199859857557,0.088440172874345,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p03,pair_concentrated,256,3,dispatch_only_ms,0.08987199887633324,0.08496319875121117,0.09613280184566975,0.04080246851733386,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p03,pair_concentrated,256,3,combine_ms,0.04076800122857094,0.03939199820160866,0.045487999543547625,0.0446243971385855,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p03,pair_concentrated,256,3,full_path_ms,0.1653599962592125,0.1596095934510231,0.1740383982658386,0.028575864378805667,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p03,pair_concentrated,256,3,host_ms,0.1819985,0.1752312,0.1896813,0.027877333523589974,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p04,pair_concentrated,256,4,layout_ms,0.02574400044977665,0.02407839996740222,0.028793599270284173,0.06343537931031304,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p04,pair_concentrated,256,4,dispatch_only_ms,0.08833600208163261,0.08503999933600426,0.10307520255446434,0.05699624378565947,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p04,pair_concentrated,256,4,combine_ms,0.04068800061941147,0.039423998445272446,0.045966399461030955,0.05889335587271976,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p04,pair_concentrated,256,4,full_path_ms,0.16275200247764587,0.1600976012647152,0.1783119961619377,0.03891110849778555,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p04,pair_concentrated,256,4,host_ms,0.17895450000000002,0.17570005000000002,0.19668054999999998,0.03829392138117462,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p05,pair_concentrated,256,5,layout_ms,0.025407999753952026,0.02401440031826496,0.02875039959326386,0.07331211032188285,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p05,pair_concentrated,256,5,dispatch_only_ms,0.08840000256896019,0.08498559892177582,0.0980912011116743,0.04571631873004618,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p05,pair_concentrated,256,5,combine_ms,0.0414079986512661,0.03985120002180338,0.04441919922828674,0.04867030312468045,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p05,pair_concentrated,256,5,full_path_ms,0.16414400190114975,0.16060800105333328,0.17710719928145408,0.030352497804363696,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p05,pair_concentrated,256,5,host_ms,0.180343,0.1763345,0.19304354999999998,0.027606633948597213,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p06,pair_concentrated,256,6,layout_ms,0.025472000241279602,0.023982400074601173,0.031246400438249104,0.13572153826980782,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p06,pair_concentrated,256,6,dispatch_only_ms,0.08808000013232231,0.0852288007736206,0.10146240107715129,0.16352245847359445,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p06,pair_concentrated,256,6,combine_ms,0.041391998529434204,0.03948799893260002,0.047155201062560076,0.12204831510252923,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p06,pair_concentrated,256,6,full_path_ms,0.16382399946451187,0.16110240146517754,0.18235999792814253,0.09774825349752037,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p06,pair_concentrated,256,6,host_ms,0.1804095,0.17647395,0.19972055,0.09146388358015735,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p07,pair_concentrated,256,7,layout_ms,0.025824000127613544,0.023982400074601173,0.028324799891561264,0.10253581151263501,50,0.5,1.0,3.0,0.25
