dataset,evidence_class,output_budget,ignore_eos,restart,run,label,source_request_id,family,prompt_tokens,ttft_s,e2e_s,processor_s
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_016,text_only_no_image_control,16,0.23544242745265365,0.23544242745265365,0.0007007401436567307
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_017,text_only_no_image_control,21,0.23471410432830453,0.23471410432830453,0.0004993141628801823
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_019,text_only_no_image_control,25,0.23419246915727854,0.23419246915727854,0.00046797189861536026
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_021,text_only_no_image_control,18,0.23370392341166735,0.23370392341166735,0.0003870283253490925
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_023,text_only_no_image_control,18,0.2332986551336944,0.2332986551336944,0.0004381607286632061
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_025,text_only_no_image_control,34,0.23284137342125177,0.23284137342125177,0.00046801939606666565
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_026,text_only_no_image_control,22,0.23235277505591512,0.23235277505591512,0.00037102075293660164
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w1,text_029,text_only_no_image_control,26,0.23196406243368983,0.23196406243368983,0.00039222603663802147
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_013,long_text_plus_image,591,0.4528200151398778,0.4528200151398778,0.06490674894303083
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_008,long_text_plus_image,606,0.3878444451838732,0.3878444451838732,0.025161380879580975
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_010,long_text_plus_image,652,0.36263928608968854,0.36263928608968854,0.02336789993569255
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_012,long_text_plus_image,655,0.3392349733039737,0.3392349733039737,0.017981670331209898
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_016,long_text_plus_image,657,0.3212204361334443,0.3212204361334443,0.013685584999620914
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_022,long_text_plus_image,658,0.3075028923340142,0.3075028923340142,0.012582309078425169
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_007,long_text_plus_image,662,0.46987815108150244,0.46987815108150244,0.017529229167848825
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:P2_lm_length_bucket:w6,longtext_003,long_text_plus_image,664,0.45231859292834997,0.45231859292834997,0.01732923975214362
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_000,text_only_no_image_control,16,0.6721953456290066,0.6721953456290066,0.0006544976495206356
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_001,text_only_no_image_control,14,0.6715138778090477,0.6715138778090477,0.0004515419714152813
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_002,text_only_no_image_control,15,0.6710415720008314,0.6710415720008314,0.0003806860186159611
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_003,text_only_no_image_control,16,0.6706415498629212,0.6706415498629212,0.0003906339406967163
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_004,text_only_no_image_control,20,0.6702330377884209,0.6702330377884209,0.0005019158124923706
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_005,text_only_no_image_control,13,0.6697080316953361,0.6697080316953361,0.0004405328072607517
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_009,text_only_no_image_control,14,0.6692442777566612,0.6692442777566612,0.0003928341902792454
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_013,text_only_no_image_control,14,0.6688318848609924,0.6688318848609924,0.00039891619235277176
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_018,text_only_no_image_control,19,0.66841357992962,0.66841357992962,0.000447999220341444
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_019,text_only_no_image_control,25,0.6679463409818709,0.6679463409818709,0.000490823294967413
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_022,text_only_no_image_control,17,0.6674324488267303,0.6674324488267303,0.0004616072401404381
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_023,text_only_no_image_control,18,0.6669502109289169,0.6669502109289169,0.00043017417192459106
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_026,text_only_no_image_control,22,0.666499761864543,0.666499761864543,0.0004930668510496616
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_027,text_only_no_image_control,28,0.6659857206977904,0.6659857206977904,0.0005823709070682526
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_028,text_only_no_image_control,22,0.665382094681263,0.665382094681263,0.0004331236705183983
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,text_029,text_only_no_image_control,26,0.6649315278045833,0.6649315278045833,0.0004590749740600586
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_003,long_text_plus_image,664,0.6644527749158442,0.6644527749158442,0.050575559027493
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_007,long_text_plus_image,662,0.6138159637339413,0.6138159637339413,0.02731795608997345
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_008,long_text_plus_image,606,0.5864618308842182,0.5864618308842182,0.01618211902678013
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_009,long_text_plus_image,671,0.5702471407130361,0.5702471407130361,0.020842432975769043
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_010,long_text_plus_image,652,0.5493721989914775,0.5493721989914775,0.01945973513647914
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_012,long_text_plus_image,655,0.529879261739552,0.529879261739552,0.016622390132397413
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_013,long_text_plus_image,591,0.5132248685695231,0.5132248685695231,0.013246770948171616
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_016,long_text_plus_image,657,0.4999476047232747,0.4999476047232747,0.01240813871845603
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_018,long_text_plus_image,667,0.48750760592520237,0.48750760592520237,0.013566200155764818
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_019,long_text_plus_image,673,0.4739104537293315,0.4739104537293315,0.01395705109462142
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_021,long_text_plus_image,666,0.45992096699774265,0.45992096699774265,0.013755024410784245
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_022,long_text_plus_image,658,0.624952376820147,0.624952376820147,0.012111234944313765
