case_id,kind,pair_key,side,request_id,layer,token_count,S,I,vision_fraction,metric,median_ms,p25_ms,p75_ms,p95_ms,cv,n_iterations,rank_medians_ms
pair_similar_S_different_I_05_low,similar_S_different_I,similar_S_different_I_05,low_I,phantom,38,165,0.896969696969697,1.2,0.8727272727272727,total_ms,0.1971840038895607,0.15824000537395477,0.24862400069832802,0.2783343926072121,0.23677662331828797,20,"{""0"": 0.19390399754047394, ""1"": 0.1971840038895607, ""2"": 0.19198399782180786, ""3"": 0.19228800386190414}"
pair_similar_S_different_I_05_low,similar_S_different_I,similar_S_different_I_05,low_I,phantom,38,165,0.896969696969697,1.2,0.8727272727272727,host_ms,0.212611,0.17406175,0.26559975,0.29475324999999997,0.22248906746485467,20,"{""0"": 0.21158, ""1"": 0.212611, ""2"": 0.2095195, ""3"": 0.2100905}"
pair_similar_S_different_I_05_high,similar_S_different_I,similar_S_different_I_05,high_I,color_wheel,6,165,0.896969696969697,1.621212121212121,0.8727272727272727,dispatch_ms,0.09835200011730194,0.09547999873757362,0.10667200200259686,0.2016656056046486,0.3287863269342087,20,"{""0"": 0.0974080003798008, ""1"": 0.09622400254011154, ""2"": 0.09552000090479851, ""3"": 0.0944799967110157}"
pair_similar_S_different_I_05_high,similar_S_different_I,similar_S_different_I_05,high_I,color_wheel,6,165,0.896969696969697,1.621212121212121,0.8727272727272727,combine_ms,0.04625600017607212,0.043031999841332436,0.04828000068664551,0.08077120296657085,0.2275096576181937,20,"{""0"": 0.04484800063073635, ""1"": 0.04497599974274635, ""2"": 0.04444799944758415, ""3"": 0.04475199989974499}"
pair_similar_S_different_I_05_high,similar_S_different_I,similar_S_different_I_05,high_I,color_wheel,6,165,0.896969696969697,1.621212121212121,0.8727272727272727,total_ms,0.154959999024868,0.15264799445867538,0.16813599690794945,0.29474880546331406,0.27140738640878903,20,"{""0"": 0.154448002576828, ""1"": 0.15425600111484528, ""2"": 0.15401600301265717, ""3"": 0.15356799960136414}"
pair_similar_S_different_I_05_high,similar_S_different_I,similar_S_different_I_05,high_I,color_wheel,6,165,0.896969696969697,1.621212121212121,0.8727272727272727,host_ms,0.17213499999999998,0.16870575,0.18508075000000002,0.3117452,0.25056112065105873,20,"{""0"": 0.172, ""1"": 0.1711245, ""2"": 0.17083900000000002, ""3"": 0.1712325}"
pair_similar_S_different_I_06_low,similar_S_different_I,similar_S_different_I_06,low_I,color_wheel,17,165,0.9106060606060606,1.103030303030303,0.8727272727272727,dispatch_ms,0.09644800052046776,0.09326400235295296,0.1011040024459362,0.12518079727888126,0.5766963472774376,20,"{""0"": 0.09331199899315834, ""1"": 0.09636799991130829, ""2"": 0.09536000341176987, ""3"": 0.0928799994289875}"
pair_similar_S_different_I_06_low,similar_S_different_I,similar_S_different_I_06,low_I,color_wheel,17,165,0.9106060606060606,1.103030303030303,0.8727272727272727,combine_ms,0.043616000562906265,0.04262400045990944,0.044335998594760895,0.050931200012564674,0.13645483067379066,20,"{""0"": 0.04307200014591217, ""1"": 0.04334400035440922, ""2"": 0.04327999986708164, ""3"": 0.04265599884092808}"
pair_similar_S_different_I_06_low,similar_S_different_I,similar_S_different_I_06,low_I,color_wheel,17,165,0.9106060606060606,1.103030303030303,0.8727272727272727,total_ms,0.1526240035891533,0.14964799582958221,0.15636799857020378,0.1815343976020815,0.4146112685471336,20,"{""0"": 0.1499359980225563, ""1"": 0.1526240035891533, ""2"": 0.15123199671506882, ""3"": 0.1494399979710579}"
pair_similar_S_different_I_06_low,similar_S_different_I,similar_S_different_I_06,low_I,color_wheel,17,165,0.9106060606060606,1.103030303030303,0.8727272727272727,host_ms,0.1683095,0.16509475,0.17710375,0.19703290000000023,0.3845055699458325,20,"{""0"": 0.167721, ""1"": 0.16821550000000002, ""2"": 0.1677915, ""3"": 0.1664675}"
pair_similar_S_different_I_06_high,similar_S_different_I,similar_S_different_I_06,high_I,phantom,8,165,0.9106060606060606,1.5121212121212122,0.8727272727272727,dispatch_ms,0.09567999839782715,0.09391199983656406,0.10009600222110748,0.11136160232126713,0.06753461462904396,20,"{""0"": 0.0923519991338253, ""1"": 0.09556800127029419, ""2"": 0.09479999914765358, ""3"": 0.09249600023031235}"
