dataset,layer,rank,slow_wave,fast_wave,pairs_slow,pairs_fast,expert_ms_slow,expert_ms_fast,latency_ratio,active_experts_slow,active_experts_fast,rows_p50_slow,rows_p50_fast,tiny_le4_slow,tiny_le4_fast
humaneval,9,1,11,23,152,155,0.6141759753227234,0.5344319939613342,1.1492125888091171,32,33,2.5,3.0,0.6875,0.6060606060606061
humaneval,9,0,76,75,64,62,0.49587199091911316,0.4315199851989746,1.1491286798465794,20,20,2.0,1.5,0.8,0.75
humaneval,23,0,22,19,173,176,0.6496000289916992,0.565343976020813,1.1490350238874472,34,28,3.5,4.0,0.6176470588235294,0.5357142857142857
humaneval,18,2,17,78,166,167,0.587007999420166,0.5110080242156982,1.148725600387809,29,29,5.0,4.0,0.4482758620689655,0.5862068965517241
humaneval,22,0,13,12,504,504,0.8237119913101196,0.7171199917793274,1.1486390014958512,46,37,8.0,11.0,0.34782608695652173,0.24324324324324326
humaneval,29,0,51,0,814,813,0.8430719971656799,0.734112024307251,1.1484241767613732,44,34,9.0,7.0,0.38636363636363635,0.4117647058823529
humaneval,24,0,21,70,82,79,0.48585599660873413,0.4230720102787018,1.1484002363774264,25,19,2.0,3.0,0.76,0.631578947368421
gsm8k,30,1,61,59,81,81,0.566815972328186,0.4936000108718872,1.1483305507367623,23,21,2.0,3.0,0.7391304347826086,0.7142857142857143
humaneval,6,1,52,0,1295,1286,0.9925119876861572,0.8643519878387451,1.1482729277546613,58,45,13.0,18.0,0.22413793103448276,0.2
humaneval,2,1,11,19,129,129,0.7098240256309509,0.6181759834289551,1.1482555852358323,39,43,3.0,3.0,0.7948717948717948,0.7906976744186046
gsm8k,8,0,64,61,78,78,0.5390719771385193,0.4695039987564087,1.1481733458423733,22,18,2.5,4.0,0.6818181818181818,0.5555555555555556
humaneval,8,3,17,81,40,42,0.5554559826850891,0.4837760031223297,1.1481677038549474,23,18,2.0,2.0,1.0,0.8333333333333334
humaneval,12,1,48,0,2113,2015,0.9530879855155945,0.8301759958267212,1.148055340441966,47,38,16.0,8.0,0.23404255319148937,0.3684210526315789
gsm8k,16,1,30,53,206,207,0.705024003982544,0.6141759753227234,1.1479185645646328,36,31,3.0,3.0,0.6944444444444444,0.7419354838709677
humaneval,20,3,67,8,423,412,0.7531200051307678,0.6560959815979004,1.147880837947778,44,33,5.0,8.0,0.45454545454545453,0.3333333333333333
humaneval,8,3,15,71,65,64,0.5248960256576538,0.4572800099849701,1.1478656713528896,31,25,2.0,2.0,0.9354838709677419,0.88
humaneval,12,0,81,82,64,66,0.541920006275177,0.4721919894218445,1.1476687839171267,13,13,2.0,2.0,0.7692307692307693,0.7692307692307693
gsm8k,23,1,54,32,232,226,0.6808000206947327,0.59334397315979,1.1473951897905101,36,31,3.5,5.0,0.5277777777777778,0.45161290322580644
gsm8k,16,3,29,28,474,462,0.7702080011367798,0.671392023563385,1.1471807440441921,39,34,5.0,5.5,0.48717948717948717,0.38235294117647056
humaneval,1,2,51,2,1364,1344,1.070847988128662,0.9335039854049683,1.147127387639499,56,54,11.0,10.5,0.25,0.2222222222222222
humaneval,12,2,15,73,132,127,0.5709760189056396,0.4978879988193512,1.1467961072763415,29,26,3.0,2.0,0.6896551724137931,0.7692307692307693
gsm8k,14,1,32,54,178,179,0.7192639708518982,0.627232015132904,1.146727133658019,39,32,2.0,5.0,0.717948717948718,0.40625
humaneval,9,1,22,24,161,160,0.621504008769989,0.5420160293579102,1.1466524514159533,33,32,3.0,4.0,0.6060606060606061,0.59375
