dataset,wave,layer,phase,moe_output_rel_l2_lag1,moe_output_cosine_lag1,hidden_matched_rows,hidden_cosine_mean,hidden_cosine_p50,hidden_rel_l2_mean,hidden_near_equal_fraction,hidden_live_cosine_mean,hidden_live_rel_l2_mean,moe_output_matched_rows,moe_output_cosine_mean,moe_output_cosine_p50,moe_output_rel_l2_mean,moe_output_near_equal_fraction,moe_output_live_cosine_mean,moe_output_live_rel_l2_mean
gsm8k,23,1,late,,,448,0.9233248829841614,0.9965006113052368,0.27294063568115234,0.0,0.9329103231430054,0.3013736307621002,448,0.953083336353302,0.9989351034164429,0.17830334603786469,0.0,0.9757864475250244,0.1391681581735611
gsm8k,24,1,late,0.7841326594352722,0.6780903935432434,416,0.9514228701591492,0.9990842342376709,0.18604110181331635,0.0,0.9197518229484558,0.3391802906990051,416,0.9710891246795654,0.9997544288635254,0.12766492366790771,0.0,0.9698297381401062,0.17172275483608246
gsm8k,25,1,late,0.5761322379112244,0.8429113030433655,448,0.895721971988678,0.9947021007537842,0.3458389639854431,0.0,0.8800976276397705,0.4493784010410309,448,0.9365349411964417,0.9983730316162109,0.2179088592529297,0.0,0.9510239362716675,0.21378213167190552
gsm8k,26,1,late,0.8228011131286621,0.6407934427261353,416,0.9415192604064941,0.9973556995391846,0.22240491211414337,0.0,0.9001706838607788,0.41157540678977966,416,0.9634302258491516,0.9989980459213257,0.15973764657974243,0.0,0.9682235717773438,0.19658727943897247
gsm8k,27,1,late,,,352,0.9125553965568542,0.9975506663322449,0.29586338996887207,0.0,0.8890298008918762,0.44810137152671814,352,0.9504753947257996,0.9985188841819763,0.1965920776128769,0.0,0.9703875780105591,0.19669364392757416
gsm8k,28,1,late,,,256,0.9560582637786865,0.9989507794380188,0.17874248325824738,0.0,0.9039671421051025,0.3995894491672516,256,0.9727099537849426,0.9995529055595398,0.11872594058513641,0.0,0.9709817171096802,0.17771975696086884
gsm8k,29,1,late,0.322412371635437,0.9482923150062561,256,0.9444144368171692,0.9979262351989746,0.21372097730636597,0.0,0.8996736407279968,0.40926727652549744,256,0.9620242714881897,0.9990894794464111,0.1477569341659546,0.0,0.9608386158943176,0.19692353904247284
gsm8k,30,1,late,,,160,0.9511909484863281,0.995732307434082,0.20789623260498047,0.0,0.9274644255638123,0.31753700971603394,160,0.9644738435745239,0.9983234405517578,0.16420339047908783,0.0,0.9744328260421753,0.1678995043039322
gsm8k,31,1,late,,,128,0.9684853553771973,0.9995229840278625,0.1398281306028366,0.0,0.9363512992858887,0.30826321244239807,128,0.9746462106704712,0.9998005032539368,0.10827723145484924,0.0,0.9755060076713562,0.146574467420578
gsm8k,32,1,late,,,96,0.8909462690353394,0.9859460592269897,0.3509535789489746,0.0,0.9321489334106445,0.2973538041114807,96,0.9308924078941345,0.9961421489715576,0.2415452003479004,0.0,0.9718499183654785,0.17391961812973022
gsm8k,33,1,late,,,64,0.9521113634109497,0.9951350688934326,0.21359869837760925,0.0,0.910689651966095,0.41200730204582214,64,0.9581800103187561,0.9986305236816406,0.15941177308559418,0.0,0.9650683999061584,0.1778830736875534
gsm8k,34,1,late,,,32,0.8597351312637329,0.994884729385376,0.43394961953163147,0.0,0.6759757995605469,0.9907236099243164,32,0.9247113466262817,0.9976711273193359,0.2699207663536072,0.0,0.8135371208190918,0.6098709106445312
gsm8k,35,1,late,0.19246266782283783,0.9853157997131348,32,0.9135738611221313,0.9870427250862122,0.3168482184410095,0.0,,,32,0.9113317728042603,0.9867576956748962,0.3585447669029236,0.0,,
gsm8k,36,1,early,,,,,,,,,,,,,,,,
gsm8k,37,1,early,0.3076678514480591,0.9542181491851807,1024,0.8069270849227905,0.9616340398788452,0.6264163255691528,0.0,0.9220378398895264,0.331984281539917,1024,0.9117494821548462,0.9966048002243042,0.33118173480033875,0.0,0.9770986437797546,0.1358044296503067
