topology,max_num_batched_tokens,condition,concurrency,n,scheduled_tokens_median,arrival_skew_ms_median,arrival_skew_ratio_median,ep_wait_proxy_ms_median,stall_fraction_median,rank_ratio_median,expert_ratio_median,dispatch_ratio_median,combine_ratio_median,layers
B,2048,long_balanced,8,288,2048.0,0.1021759957075119,0.15148233754821544,0.011647999286651611,0.006059475976032813,1.148985368179002,1.0475710817868353,1.1379438358335272,1.1813282292445533,48
B,2048,long_heterogeneous,2,144,2048.0,0.14724799990653992,0.19753906382716074,0.019328057765960693,0.010035176719943372,1.1464128843338215,1.0409782125670333,1.181507249763007,1.1846924757215946,48
B,2048,long_heterogeneous,4,144,2048.0,0.09990397095680237,0.13297650255953314,0.013952016830444336,0.007372807422790912,1.124603271484375,1.0447936054792104,1.1168789052754686,1.2089402112778793,48
B,2048,long_heterogeneous,8,288,2048.0,0.0997759997844696,0.14678071844151824,0.010384023189544678,0.005057122787213097,1.133719440146442,1.046546520379541,1.1177878994747328,1.2002833299960454,48
B,2048,text_balanced,2,48,188.0,0.12444797158241272,0.14503896639333705,0.06006401777267456,0.032517890115982245,1.2943121693121693,1.0397259988043956,1.1961911113351942,1.1015465895754584,48
B,2048,text_balanced,4,48,262.5,0.0424480140209198,0.04977760006313238,0.05046403408050537,0.026514313112894344,1.2719072164948453,1.0369584823354547,1.0973633368980362,1.2238465611121692,48
B,2048,text_balanced,8,144,277.0,0.07715201377868652,0.10684652726462934,0.03088003396987915,0.01709160499332877,1.251121076233184,1.0360211873982665,1.1123761283140499,1.1664063810247316,48
B,2048,text_balanced,16,144,1074.0,0.059008002281188965,0.09610147384739862,0.012000024318695068,0.0062740429685016665,1.242957451581545,1.0544228990083135,1.1077064766940408,1.2492600286041569,48
B,2048,text_heterogeneous,2,96,1590.0,0.3353760242462158,0.3479711108763186,0.0464479923248291,0.024578213619438946,1.2497252747252747,1.1290677431819596,1.2374612795433366,1.2487607126891582,48
B,2048,text_heterogeneous,4,96,511.0,0.08835196495056152,0.11427703127177272,0.024399995803833008,0.013597005313012535,1.2567804535889642,1.0473034966841488,1.1087598844641797,1.1723812498113249,48
B,2048,text_heterogeneous,8,192,413.0,0.0910240113735199,0.11419681467309707,0.02523195743560791,0.013548246169146412,1.2510458922180132,1.0436866041178086,1.110380811790865,1.1626859366942197,48
B,2048,text_heterogeneous,16,288,1370.0,0.11337599158287048,0.14765244754582468,0.014496028423309326,0.007705982091864565,1.2491675469973003,1.0473159613086245,1.1411540584285116,1.196486347454849,48
B,2048,vision_balanced,2,48,188.0,0.12915199995040894,0.14373427230669644,0.04867196083068848,0.026611557915451306,1.1600529100529102,1.0297198319588836,1.2160423024924478,1.1141315838449235,48
B,2048,vision_balanced,4,48,262.5,0.0767039954662323,0.08541038531492676,0.05320000648498535,0.026810311685963636,1.1630154639175259,1.0324559702329568,1.130813258531429,1.20484332350342,48
B,2048,vision_balanced,8,144,277.0,0.11559998989105225,0.1349492535615533,0.042624056339263916,0.02139163247298222,1.178479381443299,1.0361307544677665,1.1370662598974048,1.1824195774275803,48
B,2048,vision_balanced,16,144,1074.0,0.068976029753685,0.1313947209392165,0.012464046478271484,0.00671515507200462,1.1562790697674419,1.0413933142613367,1.1074409644063419,1.20689713910787,48
B,2048,vision_heterogeneous,2,96,1589.0,0.13787201046943665,0.1873094871784517,0.03563207387924194,0.01921839381822764,1.2051886792452828,1.0484752101262824,1.1859296439689524,1.1865149996751447,48
B,2048,vision_heterogeneous,4,96,511.0,0.11233600974082947,0.1479471352102072,0.03929603099822998,0.019136961344602892,1.2004886127633538,1.0699768944303294,1.1813618139309514,1.2029593829540168,48
B,2048,vision_heterogeneous,8,192,413.0,0.11527997255325317,0.13628468581306244,0.031136035919189453,0.01717072219502138,1.20125786163522,1.0325508417517621,1.126390041453715,1.1399848640093941,48
B,2048,vision_heterogeneous,16,288,1369.5,0.11675199866294861,0.1525762797565868,0.02129596471786499,0.010681674502559104,1.1937812362930975,1.0386737034455291,1.1514480620547554,1.174885143960977,48
B,4096,long_balanced,2,96,3203.0,0.9213119894266129,0.7166123705526962,0.08641588687896729,0.03072726694843459,1.1460758800164361,1.1637354527231953,1.5692800420018198,1.4968379183555585,48
B,4096,long_balanced,4,96,3203.0,0.4981440007686615,0.3574342403166457,0.07929599285125732,0.02816959552124042,1.1465873649089722,1.1276252523108308,1.4326047376954225,1.4441850178945308,48
B,4096,long_balanced,8,192,3203.0,0.8240639567375183,0.5911126694451025,0.08664000034332275,0.0308927867500486,1.1465873649089722,1.1283164386421536,1.490813727733301,1.4360621620628649,48
B,4096,long_heterogeneous,2,96,3203.0,0.929631981998682,0.8496992763612938,0.09876799583435059,0.03501961293405076,1.1466508495768712,1.182701399089898,1.6418678877909176,1.5258817793228978,48
B,4096,long_heterogeneous,4,96,3203.0,0.7577440291643143,0.6119421640250142,0.09344005584716797,0.0336901565159954,1.1307369573148485,1.1514490019294419,1.513728599696972,1.5179299804023825,48
B,4096,long_heterogeneous,8,192,3203.0,0.7192959785461426,0.5769280593374939,0.08113610744476318,0.0294285526215083,1.1372595069322564,1.1375242773641725,1.4767748285395244,1.474331821351646,48
B,4096,text_balanced,2,48,188.0,0.8270879536867142,0.6238081302635183,0.1260319948196411,0.0443903747675914,1.2943121693121693,1.2003093436775667,1.540350086550616,1.5675366767508012,48
B,4096,text_balanced,4,48,262.5,0.9750719964504242,0.6807021154104105,0.10900795459747314,0.03609005749337764,1.2719072164948453,1.1432942215784008,1.904998363235935,1.847574943188691,48
B,4096,text_balanced,8,96,262.5,0.9235359877347946,0.7099032603514838,0.08512008190155029,0.02986091758643332,1.2483252483252483,1.1632794457731706,1.5680038812806565,1.5033726123803337,48
B,4096,text_balanced,16,96,1253.0,0.6736800074577332,0.6158570042290861,0.0812000036239624,0.028872206325749578,1.2576216533124878,1.1651887690763891,1.5162450068623414,1.5057038341787221,48
B,4096,text_heterogeneous,2,48,1976.5,1.0134080052375793,0.7752352818589279,0.01897609233856201,0.0068036269012165616,1.2406447534766119,1.1669765838954023,1.5857054101297339,1.478908630237319,48
B,4096,text_heterogeneous,4,48,1050.5,0.9797119796276093,0.7316716012991865,0.015632033348083496,0.005343450001487995,1.2495100174216027,1.1450384596409457,1.7075766071102438,1.563686249935777,48
B,4096,text_heterogeneous,8,96,1050.5,0.9513919800519943,0.7254201880071176,0.015856027603149414,0.005373016658186249,1.2487469293871734,1.1650874660091324,1.5763896218692213,1.4724219113687225,48
