B_s,B_e,seed,cost,max_rank_load,mean_rank_load,cv_mean,critical_rank_mode,critical_set_3pct_mean,critical_set_5pct_mean,critical_set_10pct_mean,window_id,layer,group_count,method
8,4,-1,7402,7402,6116.0,0.13488941483657296,3,1.0,1.0,1.0,1,7,2,oracle_l
8,4,-1,6538,6538,6116.0,0.0740491302042436,1,2.0,2.0,2.5,1,8,2,oracle_l
8,4,-1,7817,7817,6116.0,0.17835806049940478,0,1.0,1.0,1.0,1,9,2,oracle_l
8,4,-1,6646,6646,6116.0,0.08434924202955862,0,2.0,2.0,2.5,1,10,2,oracle_l
8,4,-1,7247,7247,6116.0,0.12385741134888292,1,1.0,1.0,1.5,1,11,2,oracle_l
8,4,-1,6777,6777,6116.0,0.07058575197053196,1,1.0,1.0,2.0,1,12,2,oracle_l
8,4,-1,6562,6562,6116.0,0.10493056215108973,0,2.5,2.5,3.0,1,13,2,oracle_l
8,4,-1,6699,6699,6116.0,0.09499897401529069,0,2.0,2.0,2.5,1,14,2,oracle_l
8,4,-1,7416,7416,6116.0,0.16307847938039768,1,1.0,1.0,1.5,1,15,2,oracle_l
8,4,-1,7150,7150,6116.0,0.10679572077660544,2,1.0,1.0,1.5,1,16,2,oracle_l
8,4,-1,6752,6752,6116.0,0.08981131939726462,1,1.5,1.5,2.0,1,17,2,oracle_l
8,4,-1,6448,6448,6116.0,0.04616320034215866,0,1.5,2.5,3.0,1,18,2,oracle_l
8,4,-1,6970,6970,6116.0,0.11757038537091408,3,1.0,1.0,2.0,1,19,2,oracle_l
8,4,-1,7027,7027,6116.0,0.10527905452256286,0,1.0,1.5,1.5,1,20,2,oracle_l
8,4,-1,7746,7746,6116.0,0.16699820370983992,0,1.0,1.0,1.0,1,21,2,oracle_l
8,4,-1,6782,6782,6116.0,0.09533197701269294,3,1.5,1.5,2.0,1,22,2,oracle_l
8,4,-1,6723,6723,6116.0,0.10943707256673946,1,1.5,1.5,2.5,1,23,2,oracle_l
8,4,-1,6598,6598,6116.0,0.07311702405806915,3,1.5,2.0,2.5,1,24,2,oracle_l
8,4,-1,7382,7382,6116.0,0.14039352828037094,3,1.0,1.0,1.0,1,25,2,oracle_l
8,4,-1,6809,6809,6116.0,0.08747497794570383,0,1.0,1.5,1.5,1,26,2,oracle_l
8,4,-1,7134,7134,6116.0,0.16321406822077933,1,1.5,2.0,2.0,1,27,2,oracle_l
8,4,-1,6545,6545,6116.0,0.06500745743601244,1,2.0,2.5,2.5,1,28,2,oracle_l
8,4,-1,7340,7340,6116.0,0.15321696385025538,2,1.0,1.0,1.5,1,29,2,oracle_l
8,4,-1,6450,6450,6116.0,0.04511860787559756,1,2.0,2.0,2.5,1,30,2,oracle_l
8,4,-1,6595,6595,6116.0,0.06725855780837411,0,1.5,2.0,2.5,1,31,2,oracle_l
8,4,-1,7534,7534,6116.0,0.14847954632302288,0,1.0,1.0,1.0,1,32,2,oracle_l
8,4,-1,7106,7106,6116.0,0.10209379454230162,0,1.0,1.0,2.0,1,33,2,oracle_l
8,4,-1,6277,6277,6116.0,0.026573524322120703,3,2.5,3.5,4.0,1,34,2,oracle_l
8,4,-1,6763,6763,6116.0,0.08533895605179002,3,1.0,1.0,2.0,1,35,2,oracle_l
8,4,-1,7003,7003,6116.0,0.1371538400423431,3,1.5,2.0,2.0,1,36,2,oracle_l
8,4,-1,6625,6625,6116.0,0.07620545625294801,0,1.0,1.5,3.0,1,37,2,oracle_l
8,4,-1,6271,6271,6116.0,0.02721079972657773,0,3.0,3.0,4.0,1,38,2,oracle_l
8,4,-1,7133,7133,6116.0,0.1701052988496839,1,1.5,2.0,2.0,1,39,2,oracle_l
8,4,-1,6636,6636,6116.0,0.059768031814502964,1,1.0,1.0,2.5,1,40,2,oracle_l
8,4,-1,7136,7136,6116.0,0.14495155723219072,2,1.0,1.5,2.0,1,41,2,oracle_l
8,4,-1,7147,7147,6116.0,0.13133951703516558,1,1.5,1.5,1.5,1,42,2,oracle_l
8,4,-1,6762,6762,6116.0,0.10351509143320034,1,1.5,1.5,2.5,1,43,2,oracle_l
8,4,-1,6479,6479,6116.0,0.0561612317304143,1,2.0,2.0,3.0,1,44,2,oracle_l
8,4,-1,6533,6533,6116.0,0.06421784530653533,0,2.0,2.0,3.0,1,45,2,oracle_l
8,4,-1,6579,6579,6116.0,0.07576948368252863,2,2.0,2.0,2.5,1,46,2,oracle_l
8,4,-1,7583,7583,6116.0,0.1629402192586082,0,1.0,1.0,1.0,1,47,2,oracle_l
8,4,-1,24420,24420,22676.0,0.088790557971265,1,2.0,2.0,3.0,2,0,2,oracle_l
8,4,-1,25726,25726,22676.0,0.13024033143541497,1,1.5,1.5,2.0,2,1,2,oracle_l
8,4,-1,26848,26848,22676.0,0.11271746295541393,0,1.0,1.0,1.0,2,2,2,oracle_l
8,4,-1,27219,27219,22676.0,0.14503783496148923,1,1.0,2.0,2.0,2,3,2,oracle_l
8,4,-1,25974,25974,22676.0,0.10765838993271012,1,1.0,1.0,1.5,2,4,2,oracle_l
8,4,-1,27250,27250,22676.0,0.1448840934237644,0,1.0,1.0,1.0,2,5,2,oracle_l
8,4,-1,27108,27108,22676.0,0.18239909572937363,2,1.0,1.0,2.0,2,6,2,oracle_l
8,4,-1,30340,30340,22676.0,0.2128569111671589,3,1.0,1.0,1.0,2,7,2,oracle_l
8,4,-1,28759,28759,22676.0,0.1790094147069456,1,1.0,1.0,1.0,2,8,2,oracle_l
8,4,-1,26190,26190,22676.0,0.10021533927724319,1,1.0,1.0,1.5,2,9,2,oracle_l
8,4,-1,26274,26274,22676.0,0.11454256212823369,1,1.0,1.5,1.5,2,10,2,oracle_l
8,4,-1,28342,28342,22676.0,0.18554621487410625,0,1.0,1.0,1.0,2,11,2,oracle_l
8,4,-1,27538,27538,22676.0,0.15795185978952545,2,1.0,1.0,1.0,2,12,2,oracle_l
8,4,-1,26438,26438,22676.0,0.12930326339077486,1,1.0,1.0,1.5,2,13,2,oracle_l
8,4,-1,25650,25650,22676.0,0.11770935260117707,1,1.5,2.0,2.0,2,14,2,oracle_l
