experiment,start_utc,end_utc,physical_devices,resident_experiment_seconds,unadjusted_process_gpu_hours,clock_source,kind,status
online/libra_native_vl48_hidden_debug,2026-09-08T03:20:04.515506+00:00,2026-09-08T03:21:21.246411+00:00,4,76.730905,0.02131414027777778,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_hidden_debug,2026-09-08T03:20:04.774391+00:00,2026-09-08T03:21:21.246407+00:00,5,76.472016,0.021242226666666666,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_hidden_debug,2026-09-08T03:20:06.695260+00:00,2026-09-08T03:21:21.246408+00:00,6,74.551148,0.02070865222222222,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_hidden_debug,2026-09-08T03:20:05.909654+00:00,2026-09-08T03:21:21.247371+00:00,7,75.337717,0.020927143611111112,recorded_UTC,native_supplement_prefill,COMPLETE
online/metadata_operator_control_20260908,2026-09-08T04:39:17.339572+00:00,2026-09-08T04:39:19.611337+00:00,4,2.271765,0.0006310458333333333,recorded_UTC,metadata_operator_port_diagnostic,COMPLETE
online/metadata_operator_control_20260908,2026-09-08T04:39:17.317326+00:00,2026-09-08T04:39:19.710801+00:00,5,2.393475,0.0006648541666666667,recorded_UTC,metadata_operator_port_diagnostic,COMPLETE
online/metadata_operator_control_20260908,2026-09-08T04:39:17.178621+00:00,2026-09-08T04:39:19.527954+00:00,6,2.349333,0.0006525925000000001,recorded_UTC,metadata_operator_port_diagnostic,COMPLETE
online/metadata_operator_control_20260908,2026-09-08T04:39:17.340848+00:00,2026-09-08T04:39:19.756698+00:00,7,2.41585,0.0006710694444444444,recorded_UTC,metadata_operator_port_diagnostic,COMPLETE
quality/libra_vl_bridge_inputs,2026-09-08T02:59:49.520450+00:00,2026-09-08T03:00:06.740947+00:00,4,17.220523357391357,0.004783478710386488,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_bridge_inputs,2026-09-08T02:59:52.046628+00:00,2026-09-08T03:00:10.968359+00:00,5,18.921757221221924,0.0052560436725616454,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_bridge_inputs,2026-09-08T02:59:51.964516+00:00,2026-09-08T03:00:08.969691+00:00,6,17.00519871711731,0.004723666310310364,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_bridge_inputs,2026-09-08T02:59:49.450866+00:00,2026-09-08T03:00:06.686009+00:00,7,17.235169172286987,0.004787546992301941,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_hidden_debug,2026-09-08T03:13:55.197751+00:00,2026-09-08T03:14:11.650132+00:00,4,16.452406644821167,0.004570112956894769,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_hidden_debug,2026-09-08T03:13:57.658021+00:00,2026-09-08T03:14:13.229187+00:00,5,15.57118844985962,0.004325330124961006,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_hidden_debug,2026-09-08T03:13:57.904339+00:00,2026-09-08T03:14:13.781270+00:00,6,15.876954793930054,0.004410265220536126,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/libra_vl_hidden_debug,2026-09-08T03:13:59.110038+00:00,2026-09-08T03:14:15.031345+00:00,7,15.921332359313965,0.004422592322031657,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib1024_official,2026-09-07T05:29:36.158029+00:00,2026-09-07T06:14:38.766634+00:00,1,2702.6086037158966,0.7507246121433047,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib1024_official,2026-09-07T05:29:37.379132+00:00,2026-09-07T06:12:17.029590+00:00,2,2559.650455713272,0.7110140154759089,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib1024_official,2026-09-07T05:29:38.639664+00:00,2026-09-07T06:12:47.819845+00:00,3,2589.1801793575287,0.7192167164882024,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib64,2026-09-07T05:22:01.482137+00:00,2026-09-07T05:25:09.517217+00:00,1,188.03507924079895,0.05223196645577748,completed_file_mtime_minus_recorded_elapsed,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib64,2026-09-07T05:22:20.509926+00:00,2026-09-07T05:25:21.044992+00:00,2,180.5350661277771,0.05014862947993808,completed_file_mtime_minus_recorded_elapsed,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib64,2026-09-07T05:22:21.691471+00:00,2026-09-07T05:25:19.265027+00:00,3,177.5735559463501,0.04932598776287503,completed_file_mtime_minus_recorded_elapsed,quality_replica_not_EP_throughput,COMPLETE
quality/modes_calib64_paper_zero,2026-09-07T05:28:13.976485+00:00,2026-09-07T05:36:38.180667+00:00,4,504.2041790485382,0.14005671640237172,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_chart128_pilot,2026-09-07T06:12:24.957032+00:00,2026-09-07T06:15:48.041886+00:00,4,203.08487391471863,0.05641246497631073,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_frontier1024_grid100,2026-09-08T02:07:17.818240+00:00,2026-09-08T02:59:38.491219+00:00,4;5;6;7,3140.672999382019,3.4896366659800213,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/modes_frontier1024_grid100,2026-09-07T06:43:28.107526+00:00,2026-09-07T08:37:23.742272+00:00,1;2;3;4,6835.634746,7.595149717777778,recorded_UTC,quality_replica_not_EP_throughput,INTERRUPTED_USER_GPU_RELEASE
quality/modes_frontier_smoke32,2026-09-07T06:07:33.890173+00:00,2026-09-07T06:09:48.408125+00:00,4,134.51797199249268,0.037366103331247964,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/official_confirmatory_b1_20260908,2026-09-08T03:02:19.362936+00:00,2026-09-08T03:04:30.537939+00:00,4,131.17502641677856,0.03643750733799404,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/official_confirmatory_b1_20260908,2026-09-08T03:02:19.409533+00:00,2026-09-08T03:04:41.240962+00:00,5,141.8314483165741,0.03939762453238169,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/official_confirmatory_b1_20260908,2026-09-08T03:02:19.241694+00:00,2026-09-08T03:04:23.242625+00:00,6,124.00095295906067,0.03444470915529463,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
quality/official_confirmatory_b1_20260908,2026-09-08T03:02:19.059448+00:00,2026-09-08T03:04:28.822872+00:00,7,129.76344799995422,0.036045402222209505,recorded_UTC,quality_replica_not_EP_throughput,COMPLETE
