M,active_experts,cuda_ms,dp_rank,ep_rank,ep_size,expert_cv,expert_entropy,expert_hhi,expert_max_load,expert_max_mean,expert_p90_load,fanout_f1,fanout_f2,fanout_f3,fanout_f4,fanout_max,fanout_mean,fanout_median,fanout_p10,fanout_p90,layer,padded_work_proxy,phase,rank_cv,rank_max_mean,request_context,route_file,timestamp_ns,top_k,total_assignments,traffic_concentration,traffic_entropy,wall_ms
8.0,8.0,0.7736319899559021,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,13,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000062_dp1_l13.npz,3282486958557507,8,64.0,1.0,-1.000088900581841e-12,0.779625
8.0,8.0,0.7703999876976013,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,13,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000062_dp1_l13.npz,3282486958560494,8,64.0,1.0,-1.000088900581841e-12,0.776314
8.0,8.0,0.8219519853591919,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,13,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000062_dp0_l13.npz,3282486958554536,8,64.0,1.0,-1.000088900581841e-12,0.828268
8.0,8.0,0.7715839743614197,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,13,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000062_dp0_l13.npz,3282486958560506,8,64.0,1.0,-1.000088900581841e-12,0.777524
8.0,8.0,0.7688639760017395,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,14,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000063_dp1_l14.npz,3282486961460773,8,64.0,1.0,-1.000088900581841e-12,0.775502
8.0,8.0,0.8496639728546143,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,14,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000063_dp1_l14.npz,3282486961379711,8,64.0,1.0,-1.000088900581841e-12,0.85611
8.0,8.0,0.8649920225143433,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,14,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000063_dp0_l14.npz,3282486961412152,8,64.0,1.0,-1.000088900581841e-12,0.871202
8.0,8.0,0.7954239845275879,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,14,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000063_dp0_l14.npz,3282486961434330,8,64.0,1.0,-1.000088900581841e-12,0.802178
8.0,8.0,0.7974399924278259,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,15,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000064_dp1_l15.npz,3282486964276399,8,64.0,1.0,-1.000088900581841e-12,0.80331
8.0,8.0,0.8024320006370544,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,15,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000064_dp1_l15.npz,3282486964271098,8,64.0,1.0,-1.000088900581841e-12,0.808985
8.0,8.0,0.8076800107955933,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,15,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000064_dp0_l15.npz,3282486964308905,8,64.0,1.0,-1.000088900581841e-12,0.813899
8.0,8.0,0.7369279861450195,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,15,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000064_dp0_l15.npz,3282486964336735,8,64.0,1.0,-1.000088900581841e-12,0.74297
8.0,8.0,0.8220800161361694,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,16,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000065_dp1_l16.npz,3282486967107051,8,64.0,1.0,-1.000088900581841e-12,0.828451
8.0,8.0,0.7943360209465027,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,16,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000065_dp1_l16.npz,3282486967134388,8,64.0,1.0,-1.000088900581841e-12,0.79964
8.0,8.0,0.7712640166282654,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,16,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000065_dp0_l16.npz,3282486967198448,8,64.0,1.0,-1.000088900581841e-12,0.777242
