backend,e2e_ms,iteration,output_tokens,prompt_tokens,request_id,restart,ttft_ms,workload_id
agrs,186.70272827148438,1,1,1077,dp0-r0,5,186.70272827148438,image1024_c2
agrs,185.96124649047852,1,1,1077,dp1-r0,5,185.96124649047852,image1024_c2
agrs,187.87813186645508,2,1,1077,dp0-r0,5,187.87813186645508,image1024_c2
agrs,187.2241497039795,2,1,1077,dp1-r0,5,187.2241497039795,image1024_c2
agrs,189.5153522491455,3,1,1077,dp0-r0,5,189.5153522491455,image1024_c2
agrs,189.03255462646484,3,1,1077,dp1-r0,5,189.03255462646484,image1024_c2
deepep_ht,121.15192413330078,1,1,512,dp0-r0,5,121.15192413330078,text512_c2
deepep_ht,120.64170837402344,1,1,512,dp1-r0,5,120.64170837402344,text512_c2
deepep_ht,99.14445877075195,2,1,512,dp0-r0,5,99.14445877075195,text512_c2
deepep_ht,98.94347190856934,2,1,512,dp1-r0,5,98.94347190856934,text512_c2
deepep_ht,99.66683387756348,3,1,512,dp0-r0,5,99.66683387756348,text512_c2
deepep_ht,99.5941162109375,3,1,512,dp1-r0,5,99.5941162109375,text512_c2
deepep_ht,102.40459442138672,1,1,2048,dp0-r0,5,102.40459442138672,text2048_c2
deepep_ht,102.28228569030762,1,1,2048,dp1-r0,5,102.28228569030762,text2048_c2
deepep_ht,100.68058967590332,2,1,2048,dp0-r0,5,100.68058967590332,text2048_c2
deepep_ht,100.59261322021484,2,1,2048,dp1-r0,5,100.59261322021484,text2048_c2
deepep_ht,102.33402252197266,3,1,2048,dp0-r0,5,102.33402252197266,text2048_c2
deepep_ht,102.35190391540527,3,1,2048,dp1-r0,5,102.35190391540527,text2048_c2
deepep_ht,184.6294403076172,1,1,8192,dp0-r0,5,184.6294403076172,text8192_c2
deepep_ht,184.51189994812012,1,1,8192,dp1-r0,5,184.51189994812012,text8192_c2
deepep_ht,183.84313583374023,2,1,8192,dp0-r0,5,183.84313583374023,text8192_c2
deepep_ht,183.790922164917,2,1,8192,dp1-r0,5,183.790922164917,text8192_c2
deepep_ht,183.70604515075684,3,1,8192,dp0-r0,5,183.70604515075684,text8192_c2
deepep_ht,183.64977836608887,3,1,8192,dp1-r0,5,183.64977836608887,text8192_c2
deepep_ht,144.09804344177246,1,1,216,dp0-r0,5,144.09804344177246,image448_c2
deepep_ht,143.58186721801758,1,1,216,dp1-r0,5,143.58186721801758,image448_c2
deepep_ht,106.54234886169434,2,1,216,dp0-r0,5,106.54234886169434,image448_c2
deepep_ht,106.31752014160156,2,1,216,dp1-r0,5,106.31752014160156,image448_c2
deepep_ht,110.68105697631836,3,1,216,dp0-r0,5,110.68105697631836,image448_c2
deepep_ht,110.40663719177246,3,1,216,dp1-r0,5,110.40663719177246,image448_c2
deepep_ht,152.13346481323242,1,1,1077,dp0-r0,5,152.13346481323242,image1024_c2
deepep_ht,151.86548233032227,1,1,1077,dp1-r0,5,151.86548233032227,image1024_c2
deepep_ht,126.74832344055176,2,1,1077,dp0-r0,5,126.74832344055176,image1024_c2
deepep_ht,126.3277530670166,2,1,1077,dp1-r0,5,126.3277530670166,image1024_c2
deepep_ht,134.62209701538086,3,1,1077,dp0-r0,5,134.62209701538086,image1024_c2
deepep_ht,134.02986526489258,3,1,1077,dp1-r0,5,134.02986526489258,image1024_c2
