policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
semantic_coarse,router,0.05,9,0.04974489795918367,0.049107142857142856,0.04974489795918367,0.04283801874163318,0.03396822957262515,0.04840451644575361,0.13487684297512456,0.08248221709406152,0.2904688408574917,0.12097787857055664,0.012716723326593639,0.15786041021347047,0.1252792328596115,0.013188578747212886,0.17069568037986754,0.9926557540893555,0.9874682545661926,0.9999130606651306,0.2640191912651062,0.05007332619279623,0.3590018808841705,0.29238805174827576,0.051945143006742,0.3798081934452057,0.0,0.0,0.0
semantic_coarse,router,0.1,9,0.10012755102040816,0.09948979591836735,0.10012755102040816,0.0858283433133733,0.0707761162150147,0.09424382862006994,0.13089183022236162,0.08751141319718354,0.30382408394892885,0.19217641651630402,0.0906903363764286,0.2261942833662033,0.19845882058143616,0.09404850527644158,0.24897844195365906,0.9813634753227234,0.9741060018539429,0.9956148743629456,0.3748546838760376,0.16273101568222045,0.46842004656791686,0.39219194650650024,0.16871928572654724,0.4968966841697693,0.0,0.0,0.0
semantic_coarse,router,0.15,9,0.14987244897959184,0.14923469387755103,0.14987244897959184,0.12371134020618557,0.10245944531658815,0.13613515138584478,0.12956067088886433,0.09698201805294049,0.30826138140323295,0.2426830530166626,0.14714805483818055,0.2734821796417236,0.25061655044555664,0.15267389118671418,0.3051841914653778,0.9701129794120789,0.9618897438049316,0.9889922499656677,0.45065900683403015,0.2717010974884033,0.5370226502418518,0.48502418398857117,0.28157323896884917,0.5752202272415161,0.0,0.0,0.0
semantic_coarse,router,0.2,9,0.1996173469387755,0.1996173469387755,0.2002551020408163,0.15670103092783505,0.14823052405469986,0.17574831987401343,0.13584219836698497,0.10243429171077952,0.3157673743094987,0.27557510137557983,0.17861150205135345,0.311595618724823,0.2954367399215698,0.18530283868312836,0.34646678566932676,0.9613119959831238,0.9502027988433838,0.9838175058364869,0.5080398321151733,0.3356630623340607,0.5860422730445862,0.5639528632164001,0.3478595793247223,0.6187145471572876,0.0,0.0,0.0
semantic_coarse,router,0.3,9,0.2997448979591837,0.29910714285714285,0.2997448979591837,0.2515463917525773,0.22616323847093076,0.2648487724899685,0.13806577407918513,0.10416303335874941,0.33046415533187834,0.3245777487754822,0.24358226358890533,0.3880613327026367,0.3693174719810486,0.25268198251724244,0.40494272112846375,0.9459073543548584,0.9216658473014832,0.9698459506034851,0.6226692795753479,0.4888683378696442,0.685515296459198,0.6903326511383057,0.50664421916008,0.732917046546936,0.0,0.0,0.0
semantic_coarse,router,0.4,9,0.399234693877551,0.399234693877551,0.39987244897959184,0.32741617357001973,0.31020080321285143,0.3684601113172542,0.15380680737272626,0.09296063837484426,0.3439043923852746,0.36279407143592834,0.2950313866138458,0.45661100149154665,0.4214916527271271,0.30605691075325014,0.4763010859489441,0.9319360256195068,0.8897743344306945,0.9554202914237976,0.7245543599128723,0.5965067923069001,0.7943025588989258,0.7979516386985779,0.6182510733604432,0.8449406743049622,0.0,0.0,0.0
semantic_full,contribution,0.05,9,0.04974489795918367,0.04974489795918367,0.04974489795918367,0.04587155963302747,0.03201926278849352,0.04784443616389962,0.1335286782544839,0.0779833694214623,0.2907171344779894,0.11605209857225418,0.014261907059699298,0.13628485202789306,0.12481360882520676,0.014792700577527285,0.15067983269691468,0.9932460188865662,0.9906495213508606,0.9998888731002807,0.30105459690093994,0.051395611278712755,0.5865222096443177,0.34762269258499146,0.05331851709634066,0.6242441177368165,0.0,0.0,0.0
semantic_full,contribution,0.1,9,0.10012755102040816,0.10012755102040816,0.10012755102040816,0.08453608247422684,0.06941849359431777,0.09242197955660725,0.13225389455133357,0.08420776472492343,0.2972202151914256,0.1796506643295288,0.09404991790652276,0.20210798978805541,0.19251127541065216,0.09753337576985359,0.21293723583221436,0.9837402105331421,0.9793430209159851,0.9952792286872864,0.5185064673423767,0.2478595644235611,0.6925722599029542,0.5610841512680054,0.2570150256156921,0.7663181304931642,0.0,0.0,0.0
semantic_full,contribution,0.15,9,0.14987244897959184,0.14987244897959184,0.14987244897959184,0.12577319587628866,0.10951319742528534,0.13263483815459154,0.14060241297461895,0.09152407414537389,0.30352480729236714,0.22224698960781097,0.14275339841842652,0.25463867783546446,0.24484458565711975,0.14797550439834595,0.26859545707702637,0.9750323295593262,0.9670154333114624,0.9895998001098633,0.5897992849349976,0.3597161710262299,0.8249265909194947,0.6281670928001404,0.3730625450611115,0.9361645698547364,0.0,0.0,0.0
semantic_full,contribution,0.2,9,0.2002551020408163,0.2002551020408163,0.2002551020408163,0.16907216494845356,0.15505007812700125,0.18134560378062434,0.13876357380191678,0.0946814918716959,0.30225958016013615,0.2565954029560089,0.17632559835910797,0.30130588412284853,0.28930363059043884,0.18276089429855347,0.31430097222328185,0.9665728807449341,0.9535287618637085,0.984174907207489,0.6785975098609924,0.4653096318244934,0.8993919372558594,0.7072834968566895,0.4826316058635712,1.0214470863342286,0.0,0.0,0.0
