sample_id,category,edge,layer,policy,risk_kind,target_fraction,vision_tokens,dropped,vision_assignment_reduction,risk_value,swaps,max_rank_before,max_rank_after,max_rank_reduction,rank_cv_after,k1,k2,k3,k4,k5,k6,k7,k8,combined_rel_l2,vision_rel_l2,combined_cosine,renorm_combined_rel_l2,renorm_vision_rel_l2,ep_advantage_over_semantic
camera_e448,natural,448,4,ep_refined_s0.05,contribution,0.4,196,627,0.39987244897959184,154.9108484990196,67,485,291,0.4,0.03089939099702751,14,19,26,24,32,34,25,22,0.45464372634887695,0.4738626182079315,0.8909633755683899,0.9885920286178589,1.0303821563720703,1.2125
camera_e448,natural,448,24,semantic_full,router,0.05,196,78,0.04974489795918367,4.452016011811793,0,527,504,0.0436432637571158,0.14861851137594573,2,0,2,2,10,5,6,169,0.08399617671966553,0.0872812494635582,0.9964717626571655,0.18210500478744507,0.18922708928585052,
camera_e448,natural,448,24,semantic_coarse,router,0.05,196,78,0.04974489795918367,4.496194952167571,0,527,506,0.03984819734345346,0.14978247126374544,2,0,0,9,0,14,0,171,0.07965628802776337,0.08277162909507751,0.9968264102935791,0.16908593475818634,0.17569884657859802,
camera_e448,natural,448,24,ep_refined_s0.02,router,0.05,196,78,0.04974489795918367,4.534423642791808,14,527,490,0.0702087286527514,0.1370074867800053,2,0,2,2,6,8,12,164,0.08461111783981323,0.08792023360729218,0.9964199662208557,0.18020252883434296,0.18725021183490753,1.6086956521739106
camera_e448,natural,448,24,ep_refined_s0.05,router,0.05,196,78,0.04974489795918367,4.6655377903953195,21,527,483,0.08349146110056926,0.1309765686084974,2,0,2,2,6,8,12,164,0.08728334307670593,0.09069697558879852,0.9961898922920227,0.18108826875686646,0.18817058205604553,1.9130434782608674
camera_e448,natural,448,24,semantic_full,router,0.1,196,157,0.10012755102040816,10.758496739901602,0,527,483,0.08349146110056926,0.1476495382873634,3,0,3,10,14,13,13,140,0.124419666826725,0.12928569316864014,0.9922472834587097,0.268678218126297,0.2791861593723297,
camera_e448,natural,448,24,semantic_coarse,router,0.1,196,157,0.10012755102040816,10.86404647771269,0,527,480,0.08918406072106266,0.1454409412287295,3,0,0,21,0,26,0,146,0.12235573679208755,0.1271410435438156,0.9924976229667664,0.24752047657966614,0.2572009265422821,
camera_e448,natural,448,24,ep_refined_s0.02,router,0.1,196,157,0.10012755102040816,10.966653608717024,26,527,457,0.13282732447817835,0.12248893444412347,3,0,6,7,13,13,13,141,0.12836392223834991,0.13338419795036316,0.9917467832565308,0.2762952446937561,0.28710106015205383,1.5909090909090906
camera_e448,natural,448,24,ep_refined_s0.05,router,0.1,196,157,0.10012755102040816,11.277279452420771,41,527,442,0.16129032258064513,0.11308069193394288,2,1,6,6,11,17,16,137,0.1295449584722519,0.13461142778396606,0.9915881752967834,0.25146740674972534,0.26130223274230957,1.9318181818181814
camera_e448,natural,448,24,semantic_full,router,0.15,196,235,0.14987244897959184,17.602154032327235,0,527,462,0.12333965844402273,0.15041642390808638,3,3,5,18,19,14,14,120,0.15753880143165588,0.16370010375976562,0.9875444173812866,0.32117852568626404,0.3337397277355194,
camera_e448,natural,448,24,semantic_coarse,router,0.15,196,235,0.14987244897959184,17.767249518074095,0,527,460,0.12713472485768496,0.14750270624664405,3,4,0,32,0,31,0,126,0.15541008114814758,0.1614881306886673,0.9878713488578796,0.3067898750305176,0.3187883496284485,
camera_e448,natural,448,24,ep_refined_s0.02,router,0.15,196,235,0.14987244897959184,17.936125182546675,40,527,422,0.19924098671726753,0.11218882224533007,3,1,7,16,17,16,26,110,0.16296668350696564,0.16934026777744293,0.9866634607315063,0.32124805450439453,0.33381199836730957,1.6153846153846159
camera_e448,natural,448,24,ep_refined_s0.05,router,0.15,196,235,0.14987244897959184,18.46986020449549,65,527,408,0.22580645161290325,0.08939105772368271,3,2,9,12,12,20,33,105,0.16682620346546173,0.1733507364988327,0.9860171675682068,0.32385727763175964,0.33652326464653015,1.8307692307692316
camera_e448,natural,448,24,semantic_full,router,0.2,196,314,0.2002551020408163,25.01471020374447,0,527,438,0.1688804554079696,0.1516377522168892,3,5,11,20,23,21,17,96,0.18995022773742676,0.19737912714481354,0.9818403720855713,0.3754473328590393,0.39013099670410156,
camera_e448,natural,448,24,semantic_coarse,router,0.2,196,313,0.1996173469387755,25.14463481400162,0,527,437,0.17077798861480076,0.14207201329611108,3,7,0,40,0,45,0,101,0.18664303421974182,0.193942591547966,0.9824662208557129,0.36764389276504517,0.38202235102653503,
camera_e448,natural,448,24,ep_refined_s0.02,router,0.2,196,314,0.2002551020408163,25.510012284852564,57,527,391,0.25806451612903225,0.09041858833312129,4,3,11,22,19,18,32,87,0.19324801862239838,0.2008059024810791,0.9811983704566956,0.3793271481990814,0.39416253566741943,1.5280898876404498
camera_e448,natural,448,24,ep_refined_s0.05,router,0.2,196,314,0.2002551020408163,26.159092065878212,79,527,380,0.27893738140417457,0.06779214046960995,3,5,11,19,15,29,29,85,0.19603057205677032,0.20369727909564972,0.9806457161903381,0.39185652136802673,0.4071819484233856,1.6516853932584274
camera_e448,natural,448,24,semantic_full,router,0.3,196,470,0.2997448979591837,40.674081043340266,0,527,397,0.24667931688804556,0.16103722198222958,4,6,25,32,25,30,18,56,0.24338005483150482,0.25289857387542725,0.9700161218643188,0.47197258472442627,0.4904313087463379,
camera_e448,natural,448,24,semantic_coarse,router,0.3,196,470,0.2997448979591837,40.96327999327332,0,527,393,0.25426944971537,0.15589839886443013,4,13,0,68,0,46,0,65,0.25134679675102234,0.2611768841743469,0.9680132269859314,0.5093454122543335,0.5292657613754272,
camera_e448,natural,448,24,ep_refined_s0.02,router,0.3,196,470,0.2997448979591837,41.472805798985064,83,527,336,0.36242884250474383,0.05787870561168859,6,13,19,28,22,26,25,57,0.2597291171550751,0.2698870599269867,0.965788722038269,0.5357555150985718,0.5567087531089783,1.4692307692307691
camera_e448,natural,448,24,ep_refined_s0.05,router,0.3,196,470,0.2997448979591837,41.698814143426716,89,527,334,0.36622390891840606,0.04894416078357038,5,13,21,27,21,27,27,55,0.26065507531166077,0.27084919810295105,0.9655389189720154,0.5361249446868896,0.5570926070213318,1.4846153846153844
camera_e448,natural,448,24,semantic_full,router,0.4,196,627,0.39987244897959184,57.45417791698128,0,527,360,0.31688804554079697,0.1890701110080294,7,10,42,37,31,25,17,27,0.2961840033531189,0.30776768922805786,0.9552640914916992,0.5890864133834839,0.6121253967285156,
camera_e448,natural,448,24,semantic_coarse,router,0.4,196,627,0.39987244897959184,57.84768880251795,0,527,356,0.32447817836812143,0.176113292006682,7,24,0,85,0,47,0,33,0.30490314960479736,0.31682783365249634,0.9525678157806396,0.6370545029640198,0.6619695425033569,
camera_e448,natural,448,24,ep_refined_s0.02,router,0.4,196,627,0.39987244897959184,58.46079488564283,100,527,292,0.4459203036053131,0.03696598897276624,7,21,35,32,30,19,21,31,0.31559377908706665,0.3279365599155426,0.9491013288497925,0.6843531727790833,0.7111180424690247,1.4071856287425148
camera_e448,natural,448,24,ep_refined_s0.05,router,0.4,196,627,0.39987244897959184,58.46079488564283,100,527,292,0.4459203036053131,0.03696598897276624,7,21,35,32,30,19,21,31,0.31559377908706665,0.3279365599155426,0.9491013288497925,0.6843531727790833,0.7111180424690247,1.4071856287425148
camera_e448,natural,448,24,semantic_full,contribution,0.05,196,78,0.04974489795918367,5.880524216267842,0,527,508,0.03605313092979123,0.15307499032409538,3,0,3,3,3,3,15,166,0.08644869923591614,0.08982968330383301,0.9962648749351501,0.23440054059028625,0.24356788396835327,
camera_e448,natural,448,24,semantic_coarse,contribution,0.05,196,77,0.049107142857142856,5.967240387160273,0,527,509,0.034155597722960174,0.15181761488001472,3,1,0,7,0,11,0,174,0.08391933888196945,0.08720140159130096,0.9964771270751953,0.2271142154932022,0.23599658906459808,
camera_e448,natural,448,24,ep_refined_s0.02,contribution,0.05,196,78,0.04974489795918367,5.981881268557846,10,527,498,0.05502846299810249,0.14370294863421507,3,1,2,2,3,3,18,164,0.08930265158414841,0.09279525279998779,0.9960134029388428,0.24928708374500275,0.2590366303920746,1.5263157894736865
camera_e448,natural,448,24,ep_refined_s0.05,contribution,0.05,196,78,0.04974489795918367,6.129445560428579,14,527,494,0.06261859582542695,0.14054967195534349,3,1,2,2,4,2,17,165,0.09035801142454147,0.09389188885688782,0.995918333530426,0.24985162913799286,0.259623259305954,1.7368421052631597
camera_e448,natural,448,24,semantic_full,contribution,0.1,196,157,0.10012755102040816,16.15133429453633,0,527,488,0.07400379506641364,0.15032879289745116,3,2,4,9,9,10,21,138,0.12333698570728302,0.12816067039966583,0.9923815131187439,0.30734536051750183,0.31936556100845337,
camera_e448,natural,448,24,semantic_coarse,contribution,0.1,196,157,0.10012755102040816,16.60009679035861,0,527,490,0.0702087286527514,0.15617189644863427,3,3,0,17,0,25,0,148,0.1381044238805771,0.14350564777851105,0.9904486536979675,0.34456107020378113,0.35803675651550293,
camera_e448,natural,448,24,ep_refined_s0.02,contribution,0.1,196,157,0.10012755102040816,16.43616470884422,17,527,471,0.10626185958254264,0.13367960381286692,3,3,2,7,12,9,26,134,0.13841630518436432,0.14382973313331604,0.9904062747955322,0.3520370423793793,0.36580508947372437,1.4358974358974357
camera_e448,natural,448,24,ep_refined_s0.05,contribution,0.1,196,157,0.10012755102040816,16.941706726770132,27,527,461,0.1252371916508539,0.12597505001477552,3,3,4,5,10,10,28,133,0.1435791552066803,0.14919449388980865,0.9896761178970337,0.37214672565460205,0.3867012858390808,1.692307692307693
camera_e448,natural,448,24,semantic_full,contribution,0.15,196,235,0.14987244897959184,28.139793253363028,0,527,459,0.12903225806451613,0.14131483287929578,3,4,7,15,12,17,25,113,0.1541632115840912,0.16019248962402344,0.9880722761154175,0.35974112153053284,0.3738104999065399,
camera_e448,natural,448,24,semantic_coarse,contribution,0.15,196,235,0.14987244897959184,28.555251505329778,0,527,464,0.1195445920303605,0.15219379932181776,3,7,0,30,0,26,0,130,0.17205436527729034,0.1787833571434021,0.9851419925689697,0.4247127175331116,0.4413231313228607,
camera_e448,natural,448,24,ep_refined_s0.02,contribution,0.15,196,235,0.14987244897959184,28.684694228077603,22,527,437,0.17077798861480076,0.11860491903564696,3,6,6,13,13,16,25,114,0.1718304604291916,0.17855070531368256,0.9851782917976379,0.42178747057914734,0.43828344345092773,1.3235294117647058
