wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
9,40,quad_diverse,1.0,RANDOM_MATCHED,29,29,0.00488544474393531,0.003370786516853963,0.10344827586206896,0.912318229675293
9,40,quad_diverse,1.0,REDUNDANCY_ONLY,29,29,0.00488544474393531,0.003370786516853963,0.10344827586206896,0.912318229675293
9,40,quad_diverse,1.0,CRITICAL_RANK_AWARE,29,29,0.00488544474393531,0.003370786516853963,0.10344827586206896,0.912318229675293
10,16,quad_repeated,0.25,RANDOM_MATCHED,445,112,0.017241379310344827,0.021842355175688555,0.23214285714285715,0.9436219930648804
10,16,quad_repeated,0.25,REDUNDANCY_ONLY,445,112,0.017241379310344827,0.018043684710351338,0.25892857142857145,0.9660402536392212
10,16,quad_repeated,0.25,CRITICAL_RANK_AWARE,445,112,0.017241379310344827,0.007597340930674212,0.75,0.957542896270752
10,16,quad_repeated,0.5,RANDOM_MATCHED,445,223,0.03432881773399015,0.042735042735042694,0.20179372197309417,0.9445227980613708
10,16,quad_repeated,0.5,REDUNDANCY_ONLY,445,223,0.03432881773399015,0.03703703703703709,0.21524663677130046,0.9567295908927917
10,16,quad_repeated,0.5,CRITICAL_RANK_AWARE,445,223,0.03432881773399015,0.02754036087369416,0.37668161434977576,0.9567295908927917
10,16,quad_repeated,0.75,RANDOM_MATCHED,445,334,0.05141625615763547,0.05982905982905984,0.19760479041916168,0.944675862789154
10,16,quad_repeated,0.75,REDUNDANCY_ONLY,445,334,0.05141625615763547,0.05318138651471982,0.19161676646706588,0.9517463445663452
10,16,quad_repeated,0.75,CRITICAL_RANK_AWARE,445,334,0.05141625615763547,0.04938271604938271,0.25149700598802394,0.9517463445663452
10,16,quad_repeated,1.0,RANDOM_MATCHED,445,445,0.06850369458128079,0.07312440645773977,0.18876404494382024,0.9456295371055603
