call,request_id,invocation,phase,normalized_progress,ready_requests,decision_live_rows,physical_m,topk_pairs,remote_pairs,remote_fraction,rank_load,rank_load_cv,rank_fanout_mean,active_experts,median_m_e,tiny_le4_fraction,router_ms_observer,dispatch_ms_observer,expert_ms_observer,combine_ms_observer,shared_ms_observer,gather_ms_observer
58,measured_0,190,middle,0.4795673076923077,26,433,832,6656,5271,0.7919170673076923,"[1404, 1418, 2638, 1196]",0.34204902074206633,3.0000000596046448,200,13.0,0.265,9.796287536621094,1.0046720504760742,1.1024960279464722,0.302592009305954,0.03638400137424469,0.05104000121355057
59,measured_0,191,middle,0.4326923076923077,26,472,832,6656,5269,0.7916165865384616,"[1480, 1354, 2532, 1290]",0.30395467838877405,3.007211685180664,196,13.0,0.2653061224489796,9.779616355895996,0.7447360157966614,0.9965760111808777,0.19628800451755524,0.0360959991812706,0.05152000114321709
60,measured_0,192,middle,0.5420673076923077,26,381,832,6656,5190,0.7797475961538461,"[1510, 1323, 2467, 1356]",0.2818230904089114,3.044471263885498,203,13,0.2413793103448276,9.644288063049316,0.6149759888648987,1.046496033668518,0.22569599747657776,0.03593600168824196,0.04940799996256828
61,measured_0,193,middle,0.48197115384615385,26,431,832,6656,5126,0.7701322115384616,"[1577, 1232, 2495, 1352]",0.29777901957861624,3.030048191547394,207,13,0.2608695652173913,9.635168075561523,0.6800000071525574,1.0691839456558228,0.20470400154590607,0.03622400015592575,0.05008000135421753
62,measured_0,194,middle,0.5247395833333333,24,365,768,6144,4613,0.7508138020833334,"[1450, 1120, 2241, 1333]",0.27596142640286647,3.0468750596046448,201,14,0.21890547263681592,8.992575645446777,0.764959990978241,0.9864000082015991,0.15222400426864624,0.03587200120091438,0.04956800118088722
63,measured_0,195,middle,0.5611413043478262,23,323,736,5888,4571,0.7763247282608695,"[1353, 1101, 2129, 1305]",0.2655850353567286,2.990489184856415,199,13,0.24120603015075376,8.68835163116455,0.7188799977302551,1.0217599868774414,0.19596800208091736,0.033952001482248306,0.05110400170087814
64,measured_0,196,middle,0.5667613636363636,22,305,704,5632,4296,0.7627840909090909,"[1232, 1062, 2084, 1254]",0.28217214242779776,3.011363685131073,207,12,0.2995169082125604,8.466400146484375,0.673695981502533,1.0496000051498413,0.19571200013160706,0.03590400144457817,0.047359999269247055
65,measured_0,197,middle,0.5074404761904762,21,331,672,5376,4097,0.7620907738095238,"[1123, 969, 2111, 1173]",0.334199985456605,2.96875,188,12.5,0.2765957446808511,7.9239678382873535,0.7847359776496887,0.965503990650177,0.20393599569797516,0.03251200169324875,0.04822399839758873
66,measured_0,198,middle,0.515625,20,310,640,5120,3851,0.7521484375,"[1034, 943, 2003, 1140]",0.3306298550860444,2.9484375715255737,192,10.5,0.328125,7.561535835266113,0.5982400178909302,0.9443519711494446,0.1703999936580658,0.03488000109791756,0.04809600114822388
67,measured_0,199,middle,0.6109375,20,249,640,5120,3873,0.7564453125,"[1092, 860, 2000, 1168]",0.3366380776330865,2.970312535762787,197,11,0.3197969543147208,7.5688958168029785,0.5193279981613159,1.0057599544525146,0.2317119985818863,0.034432001411914825,0.0490880012512207
68,measured_0,200,middle,0.6267361111111112,18,215,576,4608,3433,0.7450086805555556,"[1033, 783, 1670, 1122]",0.2811300809588792,2.960069417953491,190,10.5,0.30526315789473685,6.857791900634766,0.8197439908981323,0.9036480188369751,0.12572799623012543,0.031968001276254654,0.04652800038456917
69,measured_0,201,middle,0.6579861111111112,18,197,576,4608,3495,0.7584635416666666,"[1118, 781, 1640, 1069]",0.26889763543761946,2.996527850627899,198,11.0,0.32323232323232326,6.943424224853516,0.6578559875488281,0.9649919867515564,0.15324799716472626,0.033215999603271484,0.04755200073122978
70,measured_0,202,middle,0.6433823529411764,17,194,544,4352,3299,0.7580422794117647,"[1114, 726, 1574, 938]",0.28714741618995543,2.9944852590560913,193,10,0.3471502590673575,6.59225606918335,0.6187520027160645,0.9506239891052246,0.15273599326610565,0.032735999673604965,0.046560000628232956
71,measured_0,203,middle,0.5459558823529411,17,247,544,4352,3337,0.7667738970588235,"[1051, 720, 1613, 968]",0.30023579729992234,2.9816176891326904,196,9.0,0.3979591836734694,6.585247993469238,0.6458879709243774,0.9660800099372864,0.19510400295257568,0.031936001032590866,0.04758400097489357
