M,fast_active_experts,fast_fanout,fast_median_ms,fast_rank_imbalance,fast_total_assignments,layer,n,p50_ms,p95_ms,phase,slow_active_experts,slow_fanout,slow_median_ms,slow_rank_imbalance,slow_total_assignments,source,tail_gap_mean_pct,tail_gap_pct
1,8.0,2.5,0.8821759819984436,1.041263407563649,8.0,12,151,0.910207986831665,1.4896479845046997,decode,8.0,2.5,2.391535997390747,1.2977264815276106,8.0,online_trace_burst16,258.3984721882375,171.09511550873933
1,8.0,2.0592105263157894,0.8800639808177948,1.04532344754817,8.0,13,151,0.903007984161377,1.3804799914360046,decode,8.0,2.125,1.7674720287322998,1.1890263620298205,8.0,online_trace_burst16,166.07092358256733,100.8344924068904
1,8.0,2.3092105263157894,0.8694559931755066,1.0407574405952078,8.0,14,151,0.9083840250968933,1.4347200393676758,decode,8.0,2.375,2.078767955303192,1.2145009348771305,8.0,online_trace_burst16,184.34495283713431,139.08834623239932
1,8.0,2.5,0.8821599781513214,1.041910695089042,8.0,15,151,0.9155840277671814,1.7058079838752747,decode,8.0,2.5,2.085103988647461,1.1998530378609717,8.0,online_trace_burst16,148.104796117756,136.36347604611336
1,8.0,1.9407894736842106,0.8745280206203461,1.0527908613640502,8.0,16,151,0.9009919762611389,1.5985440015792847,decode,8.0,1.875,2.1202879548072815,1.2179453069136779,8.0,online_trace_burst16,160.63388299238534,142.44940182726583
1,8.0,2.4539473684210527,0.8733600080013275,1.0389401444837292,8.0,17,151,0.9101439714431763,1.8957599997520447,decode,8.0,2.5,3.011776089668274,1.3378358981526532,8.0,online_trace_burst16,2097.3815615283124,244.84932468550215
1,8.0,2.5,0.8836320042610168,1.0420792394363776,8.0,18,151,0.918175995349884,1.716592013835907,decode,8.0,2.5,2.9783999919891357,1.3203304019961464,8.0,online_trace_burst16,308.9170228731351,237.06339037341758
1,8.0,2.5,0.8760479986667633,1.0408865686469677,8.0,19,151,0.9095360040664673,1.6950400471687317,decode,8.0,2.5,3.078096032142639,1.3890955601705948,8.0,online_trace_burst16,3099.2288164324555,251.36157343257528
1,8.0,2.4802631578947367,0.8687199950218201,1.040993452353841,8.0,20,151,0.9064000248908997,1.7330560088157654,decode,8.0,2.5,3.0212639570236206,1.2622128353107676,8.0,online_trace_burst16,230.2752205212736,247.7834025157043
1,8.0,2.210526315789474,0.8723520040512085,1.0384040837486936,8.0,21,151,0.9018880128860474,1.6605280041694641,decode,8.0,2.125,2.264144003391266,1.2899668352691398,8.0,online_trace_burst16,242.08468175200773,159.54477010140067
1,8.0,2.4407894736842106,0.875760018825531,1.0390210292734883,8.0,22,151,0.9206079840660095,1.891871988773346,decode,8.0,2.5,2.3683199882507324,1.2629808003072616,8.0,online_trace_burst16,200.73372646558514,170.43024770931513
1,8.0,2.111842105263158,0.8717920184135437,1.0375791790550393,8.0,23,151,0.9047359824180603,1.5871520042419434,decode,8.0,2.0,1.9901439547538757,1.2359142443603202,8.0,online_trace_burst16,172.1966640971473,128.28196550528034
1,8.0,2.3552631578947367,0.8775039911270142,1.0451815671908364,8.0,24,151,0.9192320108413696,1.8417760133743286,decode,8.0,2.3125,2.124672055244446,1.2080205681130243,8.0,online_trace_burst16,165.5246036631682,142.1267682799051
1,8.0,1.9276315789473684,0.8755359947681427,1.0450822990887005,8.0,25,151,0.9110080003738403,1.7186879515647888,decode,8.0,2.0,2.0686559677124023,1.3252567957330252,8.0,online_trace_burst16,200.81285719594766,136.27309214841088
1,8.0,2.4671052631578947,0.8855519890785217,1.0430565453548057,8.0,26,151,0.92467200756073,1.7456479668617249,decode,8.0,2.5,2.2464799284934998,1.3632519332390116,8.0,online_trace_burst16,279.653614765588,153.68131472773058
1,8.0,2.5,0.8682719767093658,1.0378285215268892,8.0,27,151,0.9062719941139221,1.753055989742279,decode,8.0,2.5,2.3719840049743652,1.269282237890827,8.0,online_trace_burst16,198.71652389526596,173.18444779965537
1,8.0,2.460526315789474,0.8679839968681335,1.036838689603217,8.0,28,151,0.8990079760551453,1.8508639931678772,decode,8.0,2.5,2.0461440086364746,1.3813319517012388,8.0,online_trace_burst16,1643.2468937395852,135.7352227711605
1,8.0,2.0460526315789473,0.8740479946136475,1.0432790350991763,8.0,29,151,0.9127680063247681,1.7514079809188843,decode,8.0,2.0,1.9426400065422058,1.31156732651327,8.0,online_trace_burst16,280.1096547531202,122.25781862238377
1,8.0,2.5,0.8768159747123718,1.0378229578761087,8.0,30,151,0.9152320027351379,1.4900960326194763,decode,8.0,2.5,2.017247974872589,1.300537913821122,8.0,online_trace_burst16,198.73726442042772,130.06514856586875
1,8.0,2.5,0.8803040087223053,1.0430359845761872,8.0,31,151,0.9156799912452698,1.4515359997749329,decode,8.0,2.5,2.791167974472046,1.4845878473395029,8.0,online_trace_burst16,1469.4147298701273,217.06864297040343
1,8.0,2.5,0.883872002363205,1.0435857300188274,8.0,32,151,0.9166399836540222,1.3056800365447998,decode,8.0,2.5,1.7650079727172852,1.338929166975067,8.0,online_trace_burst16,410.49650726833545,99.69044929550813
1,8.0,2.4802631578947367,0.8803040087223053,1.0420991443675092,8.0,33,151,0.9134399890899658,1.6132479906082153,decode,8.0,2.5,2.292784035205841,1.3747147842490741,8.0,online_trace_burst16,3678.7145983807022,160.45366288085398
1,8.0,2.4276315789473686,0.8808960020542145,1.0422130124569722,8.0,34,151,0.9056000113487244,1.7292479872703552,decode,8.0,2.25,2.2136639952659607,1.2735404073848593,8.0,online_trace_burst16,184.45462600347432,151.29686025390868
1,8.0,2.138157894736842,0.8786080181598663,1.0400623132683169,8.0,35,151,0.9100160002708435,1.6243680119514465,decode,8.0,2.0625,2.218559980392456,1.281102493124727,8.0,online_trace_burst16,212.5038132440566,152.50850601584824
1,8.0,2.3223684210526314,0.8775680065155029,1.0439534344556003,8.0,36,151,0.9008960127830505,1.4763519763946533,decode,8.0,2.5,1.8758559823036194,1.2519367111149315,8.0,online_trace_burst16,199.30500236289078,113.75619534613736
1,8.0,2.1578947368421053,0.8739360272884369,1.0384956998627046,8.0,37,151,0.9034879803657532,1.6651520133018494,decode,8.0,2.1875,2.5286558866500854,1.2424763435950488,8.0,online_trace_burst16,231.20597229283098,189.34107391062227
1,8.0,2.4671052631578947,0.8851520121097565,1.0430694516414674,8.0,38,151,0.9121599793434143,1.6681119799613953,decode,8.0,2.5,2.326032042503357,1.2593577991800198,8.0,online_trace_burst16,220.7664002688044,162.78334237275703
1,8.0,2.473684210526316,0.8783200085163116,1.0410864046263026,8.0,39,151,0.9058560132980347,1.784559965133667,decode,8.0,2.5,2.0025440454483032,1.2890560671185392,8.0,online_trace_burst16,194.47278162806256,127.9970883083706
1,8.0,2.486842105263158,0.8670400083065033,1.039300289673038,8.0,40,151,0.9054719805717468,1.5990880131721497,decode,8.0,2.5,2.1512800455093384,1.34290177423135,8.0,online_trace_burst16,1210.3239774597475,148.1177367708467
