context,iteration,layer,rank,n,g,q,histogram,block_m,dispatch_ms,expert_ms,combine_ms,dispatch_expert_overlap_ms,expert_combine_overlap_ms,previous_expert_ms,previous_combine_ms,static_median_ms,tail
serving,21,42,3,6440,28,67,"82,8,300,506,12,92,156,880,76,1228,42,0,662,26,56,174,4,808,52,36,80,420,4,110,0,52,0,20,0,180,372,2",128,0.32364800572395325,0.6599360108375549,0.1870719939470291,0.0,0.1171875,0.5231360197067261,0.20742399990558624,0.5880800187587738,False
serving,21,43,3,2564,28,37,"44,2,56,90,42,108,56,0,12,128,100,28,76,0,18,68,6,14,0,498,0,30,16,8,18,174,414,114,64,262,38,80",128,0.26284798979759216,0.5024960041046143,0.200095996260643,0.0,0.0625,0.6599360108375549,0.1870719939470291,0.5033760070800781,False
serving,21,44,3,5070,29,59,"138,934,312,170,54,86,66,42,178,538,488,16,86,30,278,644,32,28,28,26,2,8,0,26,4,198,0,384,0,2,16,256",128,0.27209600806236267,0.548192024230957,0.19315199553966522,0.0,0.1015625,0.5024960041046143,0.200095996260643,0.5524799823760986,False
serving,21,45,3,3834,30,49,"0,2,40,588,60,346,92,222,254,2,34,44,10,4,62,492,108,44,14,174,18,36,526,22,8,52,0,2,72,492,4,10",128,0.31676799058914185,0.5468800067901611,0.17347200214862823,0.0,0.08984375,0.548192024230957,0.19315199553966522,0.5467039942741394,False
serving,21,46,3,4034,28,47,"50,8,98,92,100,152,78,42,170,98,134,0,0,54,58,0,6,54,580,228,6,10,234,860,4,0,128,188,276,64,162,100",128,0.35043200850486755,0.5414400100708008,0.18617600202560425,0.0,0.078125,0.5468800067901611,0.17347200214862823,0.5366879999637604,False
serving,21,47,3,6684,31,70,"14,130,444,22,0,258,282,32,96,104,12,500,16,222,32,160,78,62,168,100,54,212,70,80,194,224,48,208,652,226,1314,670",128,0.2970559895038605,0.5894079804420471,0.23664000630378723,0.0,0.16796875,0.5414400100708008,0.18617600202560425,0.5950559973716736,False
serving,22,0,0,4302,31,52,"184,140,56,210,188,4,212,86,70,18,14,146,130,76,172,6,184,106,94,4,0,194,208,206,268,136,182,352,158,128,266,104",128,0.33059200644493103,0.5776640176773071,0.175135999917984,0.0,0.08984375,0.0,0.0,0.5525439977645874,False
serving,22,1,0,5378,32,57,"8,408,178,92,236,54,266,96,222,36,634,104,54,70,124,196,74,120,208,36,50,222,26,40,88,150,78,486,304,228,84,406",128,0.2580159902572632,0.550815999507904,0.23174400627613068,0.0,0.109375,0.5776640176773071,0.175135999917984,0.5478560030460358,False
serving,22,2,0,5618,31,59,"116,92,120,154,82,1112,52,66,122,52,38,4,116,348,78,66,14,14,60,0,26,56,10,496,120,146,134,356,116,388,456,608",128,0.42819198966026306,0.7011200189590454,0.1626559942960739,0.0,0.0859375,0.550815999507904,0.23174400627613068,0.5468479990959167,True
serving,22,3,0,5470,31,61,"164,166,156,360,240,186,362,68,66,2,72,138,138,356,18,0,208,158,104,180,140,178,6,142,340,258,96,46,576,130,58,358",128,0.2926720082759857,0.5418879985809326,0.18140800297260284,0.0,0.1015625,0.7011200189590454,0.1626559942960739,0.5368320047855377,False
serving,22,4,0,4506,31,56,"130,246,466,12,140,296,72,66,196,2,174,86,20,4,36,22,502,12,22,166,0,644,84,64,2,64,34,294,2,12,550,86",128,0.29631999135017395,0.5162879824638367,0.21382400393486023,0.0,0.0859375,0.5418879985809326,0.18140800297260284,0.5215680003166199,False
serving,22,5,0,5222,30,57,"370,298,88,2,2,10,98,52,86,70,302,2,1878,106,106,0,80,80,162,0,62,6,4,116,192,102,286,366,26,4,246,20",128,0.36182400584220886,0.5403519868850708,0.20163199305534363,0.0,0.10546875,0.5162879824638367,0.21382400393486023,0.5396159887313843,False
serving,22,6,0,4578,30,54,"4,10,24,18,2,366,42,4,196,0,24,78,62,462,70,4,0,382,584,442,104,878,64,4,148,250,182,56,6,4,106,2",128,0.3232640027999878,0.5325120091438293,0.20876799523830414,0.0,0.109375,0.5403519868850708,0.20163199305534363,0.5437600016593933,False
serving,22,7,0,6170,30,69,"390,16,26,76,46,28,174,398,218,394,182,12,12,10,122,6,146,0,46,458,0,8,16,8,134,46,4,588,1792,162,182,470",128,0.3062399923801422,0.5711680054664612,0.2104319930076599,0.0,0.12890625,0.5325120091438293,0.20876799523830414,0.5728640258312225,False
serving,22,8,0,4268,31,53,"6,18,180,334,222,14,124,746,2,26,16,40,0,6,122,170,136,104,158,346,284,4,76,2,168,2,26,108,54,6,544,224",128,0.3227840065956116,0.5286399722099304,0.24128000438213348,0.0,0.09375,0.5711680054664612,0.2104319930076599,0.5316320061683655,False
serving,22,9,0,4152,27,45,"78,30,96,6,16,38,310,486,48,246,110,182,292,0,40,8,6,430,0,0,0,122,60,378,64,82,116,70,244,0,512,82",128,0.39689600467681885,0.5072640180587769,0.20236800611019135,0.0,0.078125,0.5286399722099304,0.24128000438213348,0.5130400061607361,False
