hypothesis,experiment,variant,pair_index,requests,prompt_words,output_tokens_requested,image_count,wave_e2e_ms,sum_request_e2e_ms,request_e2e_p50_ms,request_e2e_p90_ms,request_e2e_p99_ms,ttft_p50_ms,ttft_p99_ms
H38,metadata_step_recurrence,A,378,8,2048,8,0,205.96573,1633.0199579999999,203.834309,205.43393690000002,205.85368889,203.780234,205.81178656
H38,metadata_step_recurrence,A,383,8,2048,8,0,214.449291,1698.887843,212.4636595,213.0579414,213.39555714,212.4121125,213.30042739
H38,metadata_step_recurrence,A,384,8,2048,8,0,191.682876,1516.36509,189.4579645,190.4021275,190.73718355000003,189.40421750000002,190.64784329
H38,metadata_step_recurrence,A,385,8,2048,8,0,193.845932,1533.566457,191.7815435,192.28721299999998,192.3711668,191.716136,192.25002146
H38,metadata_step_recurrence,A,387,8,2048,8,0,195.094068,1544.167361,193.046696,193.7321452,194.10723082,192.9995905,194.01581561
H38,metadata_step_recurrence,A,388,8,2048,8,0,190.736786,1509.6593719999998,188.7742905,189.4083782,189.72573061999998,188.72470199999998,189.63539828
H38,metadata_step_recurrence,A,390,8,2048,8,0,207.279621,1641.2827590000002,205.25102600000002,205.7923597,205.95901927,205.1913025,205.85258932
H38,metadata_step_recurrence,A,395,8,2048,8,0,197.413179,1562.340211,195.3235685,196.0406573,196.42255763,195.276904,196.32857731000001
H38,metadata_step_recurrence,A,396,8,2048,8,0,191.373496,1514.557297,189.356813,190.0338196,190.37223165999998,189.308276,190.285591
H38,metadata_step_recurrence,A,397,8,2048,8,0,205.68752,1611.6761979999999,201.5374,203.4226257,203.80827327,201.4702565,203.75261846
H38,metadata_step_recurrence,A,399,8,2048,8,0,195.793629,1549.4721020000002,193.599038,194.49624310000002,194.86608271,193.54445249999998,194.77269228
H38,metadata_step_recurrence,A,400,8,2048,8,0,194.770887,1522.948055,190.4467205,194.1499036,194.47521795999998,190.3926855,194.41077826
H38,metadata_step_recurrence,A,402,8,2048,8,0,195.018424,1543.3612309999999,192.94973549999997,193.6819069,194.02945459,192.89586500000001,193.93623937
H38,metadata_step_recurrence,A,407,8,2048,8,0,196.59274,1555.629395,194.3423995,195.2734518,195.65710668,194.2888385,195.56520281000002
H38,metadata_step_recurrence,A,408,8,2048,8,0,220.459372,1728.815685,216.2074815,219.8342278,220.17271798000002,216.142718,220.10780204
H38,metadata_step_recurrence,A,409,8,2048,8,0,211.036352,1672.000231,208.750765,210.5016979,210.91826209,208.679416,210.87593362
H38,metadata_step_recurrence,A,411,8,2048,8,0,208.723209,1653.4613379999998,206.730076,207.3842536,207.73428916,206.682455,207.64420404
H38,metadata_step_recurrence,A,412,8,2048,8,0,191.354126,1514.1129930000002,189.31194299999999,190.0168524,190.33013754,189.261555,190.23264952
H38,metadata_step_recurrence,A,414,8,2048,8,0,207.337246,1642.452026,205.339234,205.9808444,206.33389513999998,205.29026,206.24093666
H38,metadata_step_recurrence,A,419,8,2048,8,0,194.767356,1541.429989,192.72894,193.3736362,193.74422991999998,192.6792595,193.65373334
H38,metadata_step_recurrence,A,420,8,2048,8,0,191.118649,1512.066953,189.07023199999998,189.7613654,190.08045284,189.015098,189.98725714
H38,metadata_step_recurrence,A,421,8,2048,8,0,191.285062,1513.774245,189.2959395,189.9569732,190.28523092,189.24773499999998,190.19149907
H38,metadata_step_recurrence,A,423,8,2048,8,0,195.961586,1550.579311,193.8633055,194.5573623,194.91547383,193.81268899999998,194.82208457
H38,metadata_step_recurrence,A,424,8,2048,8,0,202.644009,1604.5950819999998,200.636238,201.2776436,201.58929326,200.5716305,201.49592345
H38,metadata_step_recurrence,A,426,8,2048,8,0,209.055168,1655.184804,206.956288,207.6158299,207.92184168999998,206.908369,207.821062
H38,metadata_step_recurrence,A,431,8,2048,8,0,195.553164,1547.518922,193.3525055,194.2270712,194.59868552,193.29943200000002,194.50414225
H38,metadata_step_recurrence,A,432,8,2048,8,0,191.207506,1513.186429,189.0672505,189.939174,190.2870474,189.014594,190.19731166000003
H38,metadata_step_recurrence,A,433,8,2048,8,0,190.612335,1508.555006,188.4796355,189.3764246,189.69442466,188.4260945,189.6041473
H38,metadata_step_recurrence,A,435,8,2048,8,0,197.10816,1558.6139449999998,194.6922305,195.7565697,196.12468436999998,194.636419,195.99197259
H38,metadata_step_recurrence,A,436,8,2048,8,0,195.640397,1547.481914,193.336435,194.2887508,194.66473228,193.2814955,194.56473271
H38,metadata_step_recurrence,A,438,8,2048,8,0,196.044164,1550.944899,193.89743700000002,194.6001864,194.97582894,193.8506255,194.88490005999998
H38,metadata_step_recurrence,A,443,8,2048,8,0,195.803548,1548.846888,193.4770815,194.4720057,194.86399737000002,193.42679049999998,194.77045019
H38,metadata_step_recurrence,A,444,8,2048,8,0,192.402102,1520.249204,189.8479805,190.8009455,191.10041285,189.776045,190.96062385
