Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:flashvep_phase1b/attention_block/layer_24/iter_0/rank_1,PushPop,73632,714165,1,73632.0,73632.0,73632,73632,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_47/iter_0/rank_0,PushPop,72895,713590,1,72895.0,72895.0,72895,72895,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_12/iter_0/rank_1,PushPop,72256,732609,1,72256.0,72256.0,72256,72256,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_12/iter_0/rank_3,PushPop,33472,347499,1,33472.0,33472.0,33472,33472,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_47/iter_0/rank_3,PushPop,16704,338126,1,16704.0,16704.0,16704,16704,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_36/iter_0/rank_3,PushPop,16320,357075,1,16320.0,16320.0,16320,16320,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_24/iter_0/rank_2,PushPop,15136,350674,1,15136.0,15136.0,15136,15136,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_36/iter_0/rank_2,PushPop,15008,356255,1,15008.0,15008.0,15008,15008,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_47/iter_0/rank_2,PushPop,14432,334652,1,14432.0,14432.0,14432,14432,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_12/iter_0/rank_2,PushPop,14400,324190,1,14400.0,14400.0,14400,14400,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_24/iter_0/rank_3,PushPop,14048,350755,1,14048.0,14048.0,14048,14048,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_24/iter_0/rank_3,PushPop,13440,220394,1,13440.0,13440.0,13440,13440,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_12/iter_0/rank_3,PushPop,13312,222059,1,13312.0,13312.0,13312,13312,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_47/iter_0/rank_3,PushPop,13312,220858,1,13312.0,13312.0,13312,13312,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_24/iter_0/rank_2,PushPop,12800,220221,1,12800.0,12800.0,12800,12800,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_36/iter_0/rank_3,PushPop,12480,248151,1,12480.0,12480.0,12480,12480,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_12/iter_0/rank_2,PushPop,12352,221918,1,12352.0,12352.0,12352,12352,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_0/iter_0/rank_1,PushPop,12192,479977,1,12192.0,12192.0,12192,12192,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_47/iter_0/rank_2,PushPop,11936,220850,1,11936.0,11936.0,11936,11936,0.0,1,1.0,2.0,1.0
