scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,40,P_T_sat,text,text,modality_coactivation_surrogate+swap,15930,127440,2.2526051475204016,2.0,3.0,0.04262397991211551,0.36264908976773386,84890,31860.0,0.9942373983901313,2.6644695543000627,0,19954.0
layer,41,P0,all,all,fixed_linear,31859,254872,3.6561411218180107,4.0,4.0,0.6686022787909225,0.987538843027088,76194,63718.0,0.12054351963187393,1.1958002448287768,2,84622.0
layer,41,P0,all,vision,fixed_linear,15929,127432,3.663946261535564,4.0,4.0,0.676941427584908,0.9870048339506561,35721,31858.0,0.08674428438626097,1.1212568271705694,2,42434.0
layer,41,P0,all,text,fixed_linear,15930,127440,3.6483364720652856,4.0,4.0,0.6602636534839925,0.9880728185812931,40473,31860.0,0.17093513608113844,1.2703389830508474,2,42188.0
layer,41,P_load,all,all,greedy_load+swap,31859,254872,3.643585799930946,4.0,4.0,0.6617282400577544,0.9818575598731912,63725,63718.0,8.808321165386409e-05,1.0001098590665118,0,84222.0
layer,41,P_load,all,vision,greedy_load+swap,15929,127432,3.6506372025864775,4.0,4.0,0.671040241069747,0.9795969615167305,35999,31858.0,0.08554585052470834,1.1299830497834138,1,42222.0
layer,41,P_load,all,text,greedy_load+swap,15930,127440,3.6365348399246704,4.0,4.0,0.6524168236032643,0.9841180163214062,34580,31860.0,0.08541493723611045,1.0853735091023227,2,42000.0
layer,41,P_sat,all,all,coactivation_surrogate+swap,31859,254872,2.9436579930317963,3.0,4.0,0.24671207508082488,0.7270473021752095,123121,63718.0,0.5930026292568128,1.9322797325716439,0,61923.0
layer,41,P_sat,all,vision,coactivation_surrogate+swap,15929,127432,3.1953041622198506,3.0,4.0,0.33762320296314896,0.8617615669533555,47378,31858.0,0.3837517688501299,1.4871617804005273,0,34969.0
layer,41,P_sat,all,text,coactivation_surrogate+swap,15930,127440,2.69202762084118,3.0,4.0,0.15580665411173886,0.5923414940364093,75743,31860.0,0.8303363060016832,2.37736974262398,0,26954.0
layer,41,P_joint_0,all,all,joint_surrogate_lambda_0,31859,254872,2.9436579930317963,3.0,4.0,0.24671207508082488,0.7270473021752095,123121,63718.0,0.5930026292568128,1.9322797325716439,0,61923.0
layer,41,P_joint_0,all,vision,joint_surrogate_lambda_0,15929,127432,3.1953041622198506,3.0,4.0,0.33762320296314896,0.8617615669533555,47378,31858.0,0.3837517688501299,1.4871617804005273,0,34969.0
layer,41,P_joint_0,all,text,joint_surrogate_lambda_0,15930,127440,2.69202762084118,3.0,4.0,0.15580665411173886,0.5923414940364093,75743,31860.0,0.8303363060016832,2.37736974262398,0,26954.0
layer,41,P_joint_0.25,all,all,joint_surrogate_lambda_0.25,31859,254872,3.054709815122885,3.0,4.0,0.27810037979848706,0.7777708025989516,104165,63718.0,0.5117641687683262,1.6347813804576414,0,65461.0
layer,41,P_joint_0.25,all,vision,joint_surrogate_lambda_0.25,15929,127432,3.2717056940172013,3.0,4.0,0.37648314395128385,0.8959758930252998,51612,31858.0,0.420576440736153,1.6200640341515475,0,36186.0
