task_id,request_id,source,layer,budget,rank,interval,expert_ms,wall_ms,dispatch_ms,combine_ms,expert_cv
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(16, 240)",0.4037437438964844,0.7601280212402344,0.11276817321777344,0.11040115356445312,0.09830591220797501
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(16, 224)",0.40268707275390625,0.7148151397705078,0.09823989868164062,0.11289596557617188,0.13338406533201738
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(32, 256)",0.488800048828125,0.7881927490234375,0.10067176818847656,0.12134361267089844,0.1283578740236314
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(256, 479)",0.41225624084472656,0.7414722442626953,0.12563323974609375,0.07817459106445312,0.07346973412028672
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(16, 256)",0.4157447814941406,0.9664306640625,0.09139251708984375,0.32064056396484375,0.05894630761729419
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(240, 256)",0.38624000549316406,0.7664012908935547,0.08655929565429688,0.1241912841796875,0.0976330674786587
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(224, 272)",0.3492469787597656,0.6825599670410156,0.0965118408203125,0.09539031982421875,0.06965385940184723
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(256, 288)",0.6906223297119141,1.0447673797607422,0.08607864379882812,0.10662460327148438,0.03462509338666384
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(32, 240)",0.8183040618896484,1.243295669555664,0.11801719665527344,0.16387176513671875,0.06513910047718352
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(272, 511)",0.4731864929199219,0.8323860168457031,0.11379241943359375,0.11020660400390625,0.016895257675708066
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(240, 495)",0.4272651672363281,0.7135696411132812,0.10169601440429688,0.06579208374023438,0.04513070522537544
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(0, 224)",0.4085426330566406,0.7684783935546875,0.0968017578125,0.11507415771484375,0.03752389664706533
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(240, 288)",0.368927001953125,1.0224952697753906,0.07884979248046875,0.4014739990234375,0.028808841495698356
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(240, 479)",0.41030120849609375,1.0373764038085938,0.12278366088867188,0.40531158447265625,0.034546264865486495
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(224, 479)",0.5727691650390625,0.9504966735839844,0.10937881469726562,0.08831787109375,0.047641973045981105
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(384, 511)",0.5247359275817871,3.955936022102833,2.088256064802408,1.0841279029846191,0.30596669457207154
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(32, 128)",0.41423988342285156,0.8538880348205566,0.10528016090393066,0.11967992782592773,0.027549984295308434
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(128, 160)",0.36508750915527344,0.747807502746582,0.09404802322387695,0.09887981414794922,0.03339257861118324
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(384, 495)",0.3735685348510742,0.7231998443603516,0.09971189498901367,0.08883190155029297,0.02102631263137607
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(16, 32)",0.33903980255126953,0.692960262298584,0.08454418182373047,0.06876754760742188,0.03514005488975154
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(224, 240)",0.34502410888671875,0.6932797431945801,0.0909128189086914,0.0784001350402832,0.037250262000715594
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(224, 256)",0.34672021865844727,0.7156157493591309,0.09222412109375,0.0895681381225586,0.041297127129256074
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(224, 288)",0.39577674865722656,1.244095802307129,0.10454463958740234,0.5527362823486328,0.4217966965256828
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(0, 128)",0.3978557586669922,0.8145914077758789,0.10531234741210938,0.13545608520507812,0.06733913293470326
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(32, 112)",0.3544635772705078,0.7194881439208984,0.08966445922851562,0.1070394515991211,0.022660608637807615
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(0, 32)",0.3398723602294922,0.7020483016967773,0.08441543579101562,0.11244773864746094,0.024102551143907597
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(384, 479)",0.3643531799316406,0.7385921478271484,0.09356880187988281,0.1044473648071289,0.06407810255553814
coffee_rocket:24:128,coffee_rocket,short,24,128,0,"(352, 416)",0.3609600067138672,0.7102394104003906,0.08905601501464844,0.08947181701660156,0.03964859910248131
