rank,case_id,condition,wall_ms,dispatch_ms,expert_ms,combine_ms,iterations
0,B_after_D_104,disjoint,0.9142879843711853,0.19622400030493736,0.44807998836040497,0.15091198682785034,2
0,B_after_S_105,similar,0.864544004201889,0.18807999975979328,0.45000000298023224,0.08903998136520386,2
0,B_after_S_106,similar,0.8767200112342834,0.19123200280591846,0.4607999920845032,0.087615966796875,2
0,B_after_S_107,similar,0.8543199896812439,0.192848005797714,0.45820799469947815,0.07665601372718811,2
0,B_after_D_108,disjoint,0.878352016210556,0.17908800346776843,0.4628159999847412,0.101360023021698,2
0,B_after_A_109,alternating,1.3955199718475342,0.20504000317305326,0.46987202763557434,0.5912159979343414,2
0,B_after_D_110,disjoint,1.1784000396728516,0.3473759931512177,0.45795202255249023,0.25068798661231995,2
0,B_after_A_111,alternating,0.8480319976806641,0.18943999568000436,0.4598879963159561,0.07601600885391235,2
0,B_steady_112,steady,0.8993439972400665,0.22846400551497936,0.4400639981031418,0.10264000296592712,2
0,B_steady_113,steady,0.8842720091342926,0.19531200407072902,0.46398402750492096,0.09145599603652954,2
0,B_steady_114,steady,0.8949759900569916,0.20288000395521522,0.45025599002838135,0.10713601112365723,2
0,B_steady_115,steady,0.8560160100460052,0.1918719969689846,0.45951999723911285,0.08195197582244873,2
0,B_after_A_116,alternating,0.8659199774265289,0.1783520053140819,0.45902401208877563,0.09761601686477661,2
0,B_after_S_117,similar,0.8913120031356812,0.20974399847909808,0.46272002160549164,0.08689600229263306,2
0,B_after_A_118,alternating,0.8741600215435028,0.20609600422903895,0.46697601675987244,0.0756639838218689,2
0,B_after_D_119,disjoint,0.8673440217971802,0.17983999894931912,0.4562399983406067,0.09638401865959167,2
1,B_after_A_0,alternating,2.2727839946746826,0.32747199200093746,0.9128959476947784,0.27588796615600586,2
1,B_after_A_1,alternating,2.1442240476608276,0.20924800587818027,0.9323680102825165,0.20848000049591064,2
1,B_after_S_2,similar,2.0763520002365112,0.19987200293689966,0.9093440175056458,0.13715213537216187,2
1,B_steady_3,steady,2.066096067428589,0.1934719975106418,0.9721439778804779,0.1271359920501709,2
1,B_after_D_4,disjoint,2.8948800563812256,0.33798400219529867,1.2888959646224976,0.21972811222076416,2
1,B_after_D_5,disjoint,1.935535967350006,0.20951999397948384,0.8481760025024414,0.12289601564407349,2
1,B_after_A_6,alternating,1.6124800443649292,0.1882239985279739,0.6290240436792374,0.6263200044631958,2
