total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
1024,4,60,high_variance,256.0,1,511,0.99609375,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.470919386292735e-08,0.0028244806453585625,0.9999960064888
1024,8,56,uniform,128.0,128,128,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4707412177017432e-08,0.002815564628690481,0.9999961256980896
1024,8,56,uniform,128.0,128,128,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4707412177017432e-08,0.002815564628690481,0.9999961256980896
1024,8,56,high_variance,128.0,1,255,0.9921875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4913108969949462e-08,0.0028240764513611794,0.9999959468841553
1024,8,56,high_variance,128.0,1,255,0.9921875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4913108969949462e-08,0.0028240764513611794,0.9999959468841553
1024,16,48,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4255888913794479e-08,0.002832674188539386,0.9999960660934448
1024,16,48,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4255888913794479e-08,0.002832674188539386,0.9999960660934448
1024,16,48,high_variance,64.0,1,127,0.984375,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.504557367582038e-08,0.0028165371622890234,0.9999960660934448
1024,16,48,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.504557367582038e-08,0.0028165371622890234,0.9999960660934448
1024,32,32,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4907950429687844e-08,0.002828511642292142,0.9999959468841553
1024,32,32,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4907950429687844e-08,0.002828511642292142,0.9999959468841553
1024,32,32,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4821852190038953e-08,0.002817310392856598,0.9999960660934448
1024,32,32,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4821852190038953e-08,0.002817310392856598,0.9999960660934448
1024,64,0,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.496598933670157e-08,0.0028240603860467672,0.9999959468841553
1024,64,0,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.496598933670157e-08,0.0028240603860467672,0.9999959468841553
1024,64,0,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4535912917779115e-08,0.002817254513502121,0.9999959468841553
1024,64,0,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4535912917779115e-08,0.002817254513502121,0.9999959468841553
