regime,task,n,block,mini,gen,threshold,target_total,repeat,threshold_requested,threshold_effective,nfe,bct_s,tps,tpf,quality_correct,quality_total,accuracy,generated_tokens,peak_hbm_mib,mean_sampled_gpu_util_pct,clean_timing,run_dir
native,humaneval,8,64,8,128,0.9,,1,0.9,0.9,70,6.26517128944397,161.4298848024519,14.442857142857143,2,8,0.25,1011,61653.0,10.637768817204302,True,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B64_m8_g128_t0.9_r1
native,humaneval,8,8,8,128,0.9,,1,0.9,0.9,115,9.772603750228882,116.57726380957405,9.904347826086957,2,8,0.25,1139,74275.0,15.368539325842697,True,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B8_m8_g128_t0.9_r1
qualitycal,gsm8k,32,128,16,128,0.85,256,1,0.85,0.85,134,12.32264232635498,418.73375789131586,38.492537313432834,11,32,0.34375,5158,66755.0,19.853274559193956,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B128_m16_g128_t0.85_L256_r1
qualitycal,gsm8k,32,128,16,128,0.95,256,1,0.95,0.95,175,17.113706588745117,302.3001377195314,29.554285714285715,9,32,0.28125,5172,66755.0,24.83222222222222,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B128_m16_g128_t0.95_L256_r1
qualitycal,gsm8k,32,32,32,128,0.85,256,1,0.85,0.85,100,9.6545250415802,539.1667297379717,52.03,12,32,0.375,5203,74649.0,17.801762114537446,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B32_m32_g128_t0.85_L256_r1
qualitycal,gsm8k,32,32,32,128,0.95,256,1,0.95,0.95,118,12.228334188461304,427.52352837746236,44.28813559322034,12,32,0.375,5226,74649.0,18.28303964757709,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B32_m32_g128_t0.95_L256_r1
qualitycal,gsm8k,32,64,16,128,0.85,256,1,0.85,0.85,124,11.136208057403564,469.0674680587054,42.104838709677416,14,32,0.4375,5221,66097.0,17.245524296675192,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m16_g128_t0.85_L256_r1
qualitycal,gsm8k,32,64,16,128,0.95,256,1,0.95,0.95,153,14.15274691581726,368.9509358363318,34.11764705882353,14,32,0.4375,5220,66177.0,19.04265402843602,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m16_g128_t0.95_L256_r1
qualitycal,gsm8k,32,64,32,128,0.85,256,1,0.85,0.85,101,9.019964933395386,574.9098037467145,51.31683168316832,12,32,0.375,5183,75323.0,14.49492385786802,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m32_g128_t0.85_L256_r1
qualitycal,gsm8k,32,64,32,128,0.95,256,1,0.95,0.95,119,11.536736249923706,448.75816382137486,43.48739495798319,11,32,0.34375,5175,75323.0,18.241784037558684,True,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m32_g128_t0.95_L256_r1
qualitycal,humaneval,32,128,8,128,0.85,384,1,0.85,0.85,224,22.628470420837402,313.5705610343439,31.669642857142858,18,32,0.5625,7094,66769.0,24.122306034482758,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B128_m8_g128_t0.85_L384_r1
qualitycal,humaneval,32,128,8,128,0.95,384,1,0.95,0.95,307,28.4386568069458,251.10830858389357,23.257328990228014,18,32,0.5625,7140,66789.0,28.2625786163522,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B128_m8_g128_t0.95_L384_r1
qualitycal,humaneval,32,32,16,128,0.85,384,1,0.85,0.85,155,13.044965982437134,586.8708495225256,49.3741935483871,18,32,0.5625,7653,74767.0,19.654708520179373,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.85_L384_r1
qualitycal,humaneval,32,32,16,128,0.85,384,2,0.85,0.85,155,13.881064176559448,551.5150752367975,49.3741935483871,18,32,0.5625,7653,74767.0,19.91866812227074,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.85_L384_r2
qualitycal,humaneval,32,32,16,128,0.85,384,3,0.85,0.85,155,13.927153825759888,549.7191646702768,49.3741935483871,18,32,0.5625,7653,74767.0,17.540361445783134,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.85_L384_r3
qualitycal,humaneval,32,32,16,128,0.95,384,1,0.95,0.95,205,19.058942556381226,401.3293143147301,37.302439024390246,18,32,0.5625,7647,74767.0,22.17200854700855,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.95_L384_r1
qualitycal,humaneval,32,64,16,128,0.85,384,1,0.85,0.85,158,13.613204002380371,556.4194699642824,47.924050632911396,18,32,0.5625,7572,74621.0,18.25375,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B64_m16_g128_t0.85_L384_r1
qualitycal,humaneval,32,64,16,128,0.95,384,1,0.95,0.95,181,15.822112321853638,474.3364143365131,41.447513812154696,17,32,0.53125,7502,74621.0,19.924364896073904,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B64_m16_g128_t0.95_L384_r1
qualitycal,humaneval,32,8,16,128,0.85,384,1,0.85,0.85,232,21.368753671646118,355.00560757409545,32.689655172413794,19,32,0.59375,7584,74449.0,22.943786982248522,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.85_L384_r1
qualitycal,humaneval,32,8,16,128,0.85,384,2,0.85,0.85,232,19.467604160308838,389.6646452850918,32.689655172413794,19,32,0.59375,7584,74449.0,20.937888198757765,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.85_L384_r2
qualitycal,humaneval,32,8,16,128,0.85,384,3,0.85,0.85,232,20.166682481765747,376.1598104878169,32.689655172413794,19,32,0.59375,7584,74449.0,22.12277227722772,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.85_L384_r3
qualitycal,humaneval,32,8,16,128,0.95,384,1,0.95,0.95,261,23.67276120185852,320.7274697268826,29.084291187739463,17,32,0.53125,7591,74609.0,22.86591355599214,True,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.95_L384_r1
