task,sample_count,regime,decoder_control,block_length,mini_batch_size,generation,threshold,threshold_requested,threshold_effective,target_total_length,repeat,quality_correct,quality_total,accuracy,nfe,bct_s,run_dir
gsm8k,32,qualitycal,serving_native,32,32,128,0.85,0.85,0.85,256,1,12,32,0.375,100,9.6545250415802,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B32_m32_g128_t0.85_L256_r1
gsm8k,32,qualitycal,serving_native,32,32,128,0.95,0.95,0.95,256,1,12,32,0.375,118,12.228334188461304,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B32_m32_g128_t0.95_L256_r1
gsm8k,32,qualitycal,serving_native,64,16,128,0.85,0.85,0.85,256,1,14,32,0.4375,124,11.136208057403564,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m16_g128_t0.85_L256_r1
gsm8k,32,qualitycal,serving_native,64,16,128,0.95,0.95,0.95,256,1,14,32,0.4375,153,14.15274691581726,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m16_g128_t0.95_L256_r1
gsm8k,32,qualitycal,serving_native,64,32,128,0.85,0.85,0.85,256,1,12,32,0.375,101,9.019964933395386,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m32_g128_t0.85_L256_r1
gsm8k,32,qualitycal,serving_native,64,32,128,0.95,0.95,0.95,256,1,11,32,0.34375,119,11.536736249923706,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B64_m32_g128_t0.95_L256_r1
humaneval,32,qualitycal,serving_native,128,8,128,0.85,0.85,0.85,384,1,18,32,0.5625,224,22.628470420837402,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B128_m8_g128_t0.85_L384_r1
humaneval,32,qualitycal,serving_native,128,8,128,0.95,0.95,0.95,384,1,18,32,0.5625,307,28.4386568069458,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B128_m8_g128_t0.95_L384_r1
humaneval,32,qualitycal,serving_native,32,16,128,0.85,0.85,0.85,384,1,18,32,0.5625,155,13.044965982437134,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.85_L384_r1
humaneval,32,qualitycal,serving_native,32,16,128,0.85,0.85,0.85,384,2,18,32,0.5625,155,13.881064176559448,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.85_L384_r2
humaneval,32,qualitycal,serving_native,32,16,128,0.85,0.85,0.85,384,3,18,32,0.5625,155,13.927153825759888,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.85_L384_r3
humaneval,32,qualitycal,serving_native,32,16,128,0.95,0.95,0.95,384,1,18,32,0.5625,205,19.058942556381226,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B32_m16_g128_t0.95_L384_r1
humaneval,32,qualitycal,serving_native,64,16,128,0.85,0.85,0.85,384,1,18,32,0.5625,158,13.613204002380371,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B64_m16_g128_t0.85_L384_r1
humaneval,32,qualitycal,serving_native,64,16,128,0.95,0.95,0.95,384,1,17,32,0.53125,181,15.822112321853638,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B64_m16_g128_t0.95_L384_r1
humaneval,32,qualitycal,serving_native,8,16,128,0.85,0.85,0.85,384,1,19,32,0.59375,232,21.368753671646118,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.85_L384_r1
humaneval,32,qualitycal,serving_native,8,16,128,0.85,0.85,0.85,384,2,19,32,0.59375,232,19.467604160308838,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.85_L384_r2
humaneval,32,qualitycal,serving_native,8,16,128,0.85,0.85,0.85,384,3,19,32,0.59375,232,20.166682481765747,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.85_L384_r3
humaneval,32,qualitycal,serving_native,8,16,128,0.95,0.95,0.95,384,1,17,32,0.53125,261,23.67276120185852,poc_ep_dynamic_block/results/clean/qualitycal_humaneval_n32_B8_m16_g128_t0.95_L384_r1
gsm8k,32,replicate,serving_native,128,16,128,0.9,0.9,0.9,256,6,11,32,0.34375,151,13.557003021240234,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B128_m16_g128_t0.9_L256_r6
gsm8k,32,replicate,serving_native,128,16,128,0.9,0.9,0.9,256,7,11,32,0.34375,151,14.277848482131958,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B128_m16_g128_t0.9_L256_r7
gsm8k,32,replicate,serving_native,32,32,128,0.9,0.9,0.9,256,6,13,32,0.40625,102,9.452736377716064,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r6
gsm8k,32,replicate,serving_native,32,32,128,0.9,0.9,0.9,256,7,13,32,0.40625,102,9.716388702392578,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B32_m32_g128_t0.9_L256_r7
gsm8k,32,replicate,serving_native,64,16,128,0.9,0.9,0.9,256,6,14,32,0.4375,137,11.683528423309326,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m16_g128_t0.9_L256_r6
