vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
clock_motion,text_01_clock_motion,28,0,232.0,237.0,31.0,28.0,0.5164331896551724,0.6251318565400844,0.14224137931034483,0.1350210970464135,0.3879310344827587,0.5274261603375527,33.0,32.0,8.551724137931034,7.561181434599156,31.0,28.0,0.396479994058609,0.39900800585746765,0.021551724137931036
clock_motion,text_00_coins,29,0,212.0,254.0,31.0,23.0,0.39887971698113206,0.5915354330708661,0.09433962264150944,0.09448818897637795,0.2783018867924528,0.3582677165354331,20.0,24.0,9.358490566037736,5.7952755905511815,31.0,23.0,0.3975360095500946,0.3860799968242645,0.19811320754716982
clock_motion,text_04_color_wheel,30,0,272.0,262.0,30.0,28.0,0.5838694852941176,0.6667461832061069,0.22426470588235295,0.2099236641221374,0.5036764705882353,0.564885496183206,61.0,55.0,7.0588235294117645,6.8396946564885495,30.0,28.0,0.400191992521286,0.3962880074977875,0.03676470588235294
clock_motion,text_00_coins,31,0,224.0,324.0,26.0,27.0,0.5198102678571429,0.644483024691358,0.14285714285714285,0.21296296296296297,0.3705357142857143,0.4783950617283951,32.0,69.0,7.428571428571429,5.530864197530864,26.0,28.0,0.40112000703811646,0.40860798954963684,0.44642857142857145
clock_motion,text_02_cat,32,0,343.0,333.0,31.0,26.0,0.4324890670553936,0.6844031531531531,0.09329446064139942,0.30930930930930933,0.3206997084548105,0.5555555555555556,32.0,103.0,5.784256559766764,5.1891891891891895,31.0,27.0,0.40409600734710693,0.3893440067768097,0.029154518950437316
clock_motion,text_02_cat,33,0,302.0,300.0,30.0,20.0,0.527317880794702,0.8085416666666667,0.16225165562913907,0.3233333333333333,0.41721854304635764,0.7499999999999999,49.0,97.0,6.357615894039735,4.48,30.0,21.0,0.4066559970378876,0.388480007648468,0.006622516556291391
clock_motion,text_00_coins,34,0,201.0,218.0,28.0,24.0,0.5331156716417911,0.5966169724770642,0.1791044776119403,0.11467889908256881,0.4129353233830846,0.3944954128440367,36.0,25.0,8.91542288557214,7.045871559633028,28.0,24.0,0.3965120017528534,0.38944000005722046,0.0845771144278607
clock_motion,text_01_clock_motion,35,0,341.0,339.0,29.0,26.0,0.468933284457478,0.6073930678466076,0.13196480938416422,0.13569321533923304,0.3607038123167155,0.47492625368731567,45.0,46.0,5.442815249266862,4.908554572271386,29.0,26.0,0.40006399154663086,0.3914879858493805,0.005865102639296188
clock_motion,text_02_cat,36,0,238.0,259.0,31.0,29.0,0.40414915966386555,0.622707528957529,0.09243697478991597,0.20463320463320464,0.33193277310924374,0.5019305019305019,22.0,53.0,8.336134453781513,7.166023166023166,31.0,29.0,0.4028800129890442,0.3953920006752014,0.08823529411764706
clock_motion,text_04_color_wheel,37,0,325.0,306.0,32.0,29.0,0.4593269230769231,0.5712826797385621,0.12923076923076923,0.25163398692810457,0.36615384615384616,0.4934640522875816,42.0,77.0,6.3015384615384615,6.2745098039215685,32.0,30.0,0.40303999185562134,0.4188160002231598,0.05846153846153846
clock_motion,text_01_clock_motion,38,0,291.0,299.0,31.0,28.0,0.45049398625429554,0.5279055183946488,0.11683848797250859,0.11036789297658862,0.3745704467353952,0.35785953177257523,34.0,33.0,6.81786941580756,5.993311036789297,31.0,28.0,0.4025599956512451,0.39260798692703247,0.027491408934707903
clock_motion,text_02_cat,39,0,196.0,201.0,30.0,25.0,0.44260204081632654,0.6379042288557214,0.1377551020408163,0.1890547263681592,0.3673469387755102,0.4626865671641791,27.0,38.0,9.795918367346939,7.960199004975125,30.0,25.0,0.3980480134487152,0.3862079977989197,0.025510204081632654
clock_motion,text_03_phantom,40,0,247.0,253.0,27.0,22.0,0.4986082995951417,0.7204792490118577,0.1417004048582996,0.2766798418972332,0.3643724696356275,0.6205533596837944,35.0,70.0,6.995951417004049,5.818181818181818,27.0,23.0,0.4004800021648407,0.399616003036499,0.024291497975708502
clock_motion,text_00_coins,41,0,253.0,244.0,30.0,22.0,0.4405879446640316,0.5758196721311475,0.08300395256916997,0.10655737704918032,0.308300395256917,0.38114754098360654,21.0,26.0,7.58893280632411,5.770491803278689,30.0,22.0,0.400191992521286,0.38576000928878784,0.03557312252964427
