sample_id,layer,modality,stock_cosine,stock_relative_l2
astronaut,4,visual,0.9999961853027344,0.0028358502313494682
astronaut,4,visual,0.9999964237213135,0.0026778774335980415
astronaut,4,visual,0.9999958872795105,0.002857024548575282
astronaut,4,visual,0.9999964237213135,0.0026972549967467785
astronaut,4,visual,0.9999958872795105,0.002865792019292712
astronaut,4,visual,0.9999963641166687,0.0026784888468682766
astronaut,4,visual,0.9999959468841553,0.0028422055765986443
astronaut,4,visual,0.9999968409538269,0.002558693289756775
astronaut,4,visual,0.9999960660934448,0.002828334691002965
astronaut,4,visual,0.9999962449073792,0.0027248512487858534
astronaut,4,visual,0.9999959468841553,0.002862381748855114
astronaut,4,visual,0.9999964237213135,0.002710705855861306
astronaut,4,visual,0.9999961256980896,0.0027982613537460566
astronaut,4,visual,0.9999960660934448,0.002833961509168148
astronaut,4,visual,0.9999964237213135,0.0026823992375284433
astronaut,4,visual,0.9999963045120239,0.002702470635995269
astronaut,4,visual,0.9999964237213135,0.002718235831707716
astronaut,4,visual,0.9999964833259583,0.0026109640020877123
astronaut,4,text,0.9999974370002747,0.002281404798850417
astronaut,24,visual,0.9999968409538269,0.002507113851606846
astronaut,24,visual,0.9999960660934448,0.00280224671587348
astronaut,24,visual,0.9999961256980896,0.002766146557405591
astronaut,24,visual,0.9999963641166687,0.0027331546880304813
astronaut,24,visual,0.9999964237213135,0.0026687635108828545
astronaut,24,visual,0.9999962449073792,0.0027925819158554077
astronaut,24,visual,0.9999964237213135,0.0026795552112162113
astronaut,24,visual,0.9999963045120239,0.002762910909950733
astronaut,24,visual,0.9999961853027344,0.002803817158564925
astronaut,24,visual,0.9999958872795105,0.002916632452979684
astronaut,24,visual,0.9999957084655762,0.0028994197491556406
astronaut,24,visual,0.9999961256980896,0.002800560090690851
astronaut,24,visual,0.9999958276748657,0.0028870676178485155
astronaut,24,visual,0.9999958872795105,0.002869458869099617
astronaut,24,visual,0.9999957084655762,0.002951728878542781
astronaut,24,visual,0.9999964237213135,0.00269015459343791
astronaut,24,visual,0.9999961853027344,0.0027885062154382467
astronaut,24,visual,0.9999958872795105,0.00287011731415987
astronaut,24,visual,0.999996542930603,0.0026379632763564587
astronaut,24,visual,0.9999958276748657,0.002912752330303192
astronaut,24,visual,0.9999962449073792,0.00280382065102458
astronaut,24,visual,0.9999964237213135,0.0027378976810723543
astronaut,24,visual,0.9999968409538269,0.0025602381210774183
astronaut,24,visual,0.999995768070221,0.0028968206606805325
astronaut,24,visual,0.9999959468841553,0.0028495651204138994
astronaut,24,visual,0.9999961853027344,0.00279898545704782
astronaut,24,visual,0.9999961256980896,0.002769976621493697
astronaut,24,visual,0.9999966621398926,0.0025835074484348297
astronaut,24,visual,0.9999966621398926,0.002566870767623186
astronaut,24,visual,0.9999963641166687,0.0027179725002497435
astronaut,24,visual,0.9999963641166687,0.002674694638699293
astronaut,24,visual,0.9999960660934448,0.0028412379324436188
astronaut,24,visual,0.9999964833259583,0.002665929961949587
astronaut,24,visual,0.9999961853027344,0.00277341203764081
astronaut,24,visual,0.9999963045120239,0.002739605726674199
astronaut,24,visual,0.9999962449073792,0.0027303770184516907
astronaut,24,visual,0.9999962449073792,0.0027523385360836983
astronaut,24,visual,0.999997079372406,0.0024700963404029608
astronaut,24,visual,0.9999966621398926,0.0025824231561273336
astronaut,24,visual,0.9999966025352478,0.002602457767352462
astronaut,24,visual,0.9999963045120239,0.0027676071040332317
astronaut,24,visual,0.9999968409538269,0.002515702275559306
astronaut,24,visual,0.999995768070221,0.0029479465447366238
astronaut,24,visual,0.9999967217445374,0.002599091734737158
astronaut,24,visual,0.9999964833259583,0.002617001300677657
astronaut,24,visual,0.9999962449073792,0.0027825527358800173
astronaut,24,visual,0.9999959468841553,0.002823006361722946
astronaut,24,visual,0.9999961853027344,0.002775968052446842
astronaut,24,visual,0.9999962449073792,0.002744095167145133
astronaut,24,visual,0.9999961853027344,0.00276290369220078
astronaut,24,visual,0.9999967813491821,0.0025536022149026394
astronaut,24,visual,0.9999957084655762,0.0029204655438661575
astronaut,24,text,0.9999964833259583,0.0026517605874687433
astronaut,24,text,0.999996542930603,0.0026406727265566587
astronaut,47,visual,0.9999986290931702,0.001760433311574161
astronaut,47,visual,0.9999988675117493,0.0015246357070282102
astronaut,47,visual,0.9999980330467224,0.002024079905822873
astronaut,47,visual,0.9999980330467224,0.0018886108882725239
astronaut,47,visual,0.9999982714653015,0.0017942655831575394
astronaut,47,visual,0.9999982714653015,0.0019123327219858766
astronaut,47,visual,0.9999985694885254,0.0017572271171957254
astronaut,47,visual,0.9999983906745911,0.0017964225262403488
astronaut,47,visual,0.999997079372406,0.002460996387526393
astronaut,47,visual,0.9999978542327881,0.0020349775440990925
